Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2025-10-14 00:00:00,2025-10-14T00:00:00,63.11,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,2,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,2,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,2,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,3,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,1,SetByBid
2025-10-14 00:00:00,2025-10-14T00:00:00,63.12,4,SetByBid
2025-10-14 00:00:09,2025-10-14T00:00:09,63.15,1,SetByAsk
2025-10-14 00:00:09,2025-10-14T00:00:09,63.15,1,SetByBid
2025-10-14 00:00:10,2025-10-14T00:00:10,63.15,1,SetByAsk
2025-10-14 00:00:10,2025-10-14T00:00:10,63.15,1,SetByBid
2025-10-14 00:00:12,2025-10-14T00:00:12,63.15,1,SetByBid
2025-10-14 00:00:19,2025-10-14T00:00:19,63.15,1,SetByBid
2025-10-14 00:00:19,2025-10-14T00:00:19,63.15,1,SetByBid
2025-10-14 00:00:19,2025-10-14T00:00:19,63.15,1,SetByBid
