Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2026-03-20T00:00:00,107.5,1.0,SetByBid
2026-03-20T00:00:00,107.5,1.0,SetByBid
2026-03-20T00:00:04,107.53,1.0,SetByAsk
2026-03-20T00:00:04,107.52,1.0,SetByAsk
2026-03-20T00:00:06,107.54,1.0,SetByBid
2026-03-20T00:00:06,107.54,1.0,SetByBid
2026-03-20T00:00:06,107.54,1.0,SetByBid
2026-03-20T00:00:09,107.51,1.0,SetByAsk
2026-03-20T00:00:10,107.5,1.0,SetByAsk
2026-03-20T00:00:23,107.51,1.0,SetByAsk
2026-03-20T00:00:23,107.51,1.0,SetByAsk
2026-03-20T00:00:23,107.51,1.0,SetByBid
2026-03-20T00:00:26,107.54,1.0,SetByBid
2026-03-20T00:00:26,107.55,1.0,SetByBid
2026-03-20T00:00:26,107.55,1.0,SetByBid
2026-03-20T00:00:26,107.56,1.0,SetByBid
2026-03-20T00:00:26,107.56,1.0,SetByBid
2026-03-20T00:00:26,107.56,1.0,SetByBid
2026-03-20T00:00:26,107.57,1.0,SetByBid
2026-03-20T00:00:26,107.57,1.0,SetByBid
2026-03-20T00:00:26,107.57,1.0,SetByBid
2026-03-20T00:00:26,107.57,1.0,SetByBid
2026-03-20T00:00:26,107.58,1.0,SetByBid
2026-03-20T00:00:26,107.58,1.0,SetByBid
2026-03-20T00:00:26,107.58,1.0,SetByBid
2026-03-20T00:00:26,107.58,1.0,SetByBid
2026-03-20T00:00:26,107.59,1.0,SetByBid
2026-03-20T00:00:26,107.6,1.0,SetByAsk
2026-03-20T00:00:26,107.61,1.0,SetByAsk
2026-03-20T00:00:26,107.61,1.0,SetByAsk
2026-03-20T00:00:26,107.61,1.0,SetByAsk
2026-03-20T00:00:26,107.6,1.0,SetByAsk
2026-03-20T00:00:30,107.6,1.0,SetByAsk
2026-03-20T00:00:33,107.6,1.0,SetByBid
2026-03-20T00:00:34,107.6,5.0,SetByBid
2026-03-20T00:00:34,107.59,1.0,SetByAsk
2026-03-20T00:00:40,107.63,1.0,SetByBid
2026-03-20T00:00:40,107.63,1.0,SetByBid
2026-03-20T00:00:41,107.62,1.0,SetByAsk
2026-03-20T00:00:43,107.61,1.0,SetByAsk
2026-03-20T00:00:45,107.63,1.0,SetByAsk
2026-03-20T00:00:45,107.65,1.0,SetByBid
2026-03-20T00:00:45,107.65,1.0,SetByBid
2026-03-20T00:00:45,107.65,1.0,SetByAsk
2026-03-20T00:00:45,107.64,1.0,SetByAsk
2026-03-20T00:00:49,107.64,1.0,SetByAsk
2026-03-20T00:00:53,107.66,1.0,SetByBid
2026-03-20T00:00:53,107.68,1.0,SetByAsk
2026-03-20T00:00:54,107.67,1.0,SetByAsk
2026-03-20T00:00:54,107.67,1.0,SetByAsk
2026-03-20T00:00:54,107.67,1.0,SetByAsk
2026-03-20T00:00:54,107.65,1.0,SetByAsk
2026-03-20T00:00:54,107.67,1.0,SetByBid
2026-03-20T00:00:54,107.65,1.0,SetByAsk
2026-03-20T00:00:56,107.68,1.0,SetByBid
2026-03-20T00:00:56,107.68,1.0,SetByAsk
2026-03-20T00:00:56,107.67,1.0,SetByAsk
2026-03-20T00:00:57,107.66,1.0,SetByAsk
2026-03-20T00:00:57,107.65,1.0,SetByAsk
2026-03-20T00:01:00,107.66,1.0,SetByAsk
2026-03-20T00:01:00,107.66,1.0,SetByAsk
2026-03-20T00:01:01,107.65,1.0,SetByAsk
2026-03-20T00:01:01,107.65,1.0,SetByAsk
2026-03-20T00:01:02,107.65,1.0,SetByAsk
2026-03-20T00:01:04,107.65,1.0,SetByBid
2026-03-20T00:01:07,107.66,1.0,SetByBid
2026-03-20T00:01:07,107.66,1.0,SetByBid
2026-03-20T00:01:07,107.66,1.0,SetByBid
2026-03-20T00:01:07,107.66,1.0,SetByBid
2026-03-20T00:01:07,107.66,1.0,SetByAsk
2026-03-20T00:01:08,107.67,1.0,SetByAsk
2026-03-20T00:01:08,107.69,1.0,SetByBid
2026-03-20T00:01:09,107.69,1.0,SetByBid
2026-03-20T00:01:09,107.7,1.0,SetByBid
2026-03-20T00:01:09,107.7,1.0,SetByBid
2026-03-20T00:01:09,107.71,1.0,SetByBid
2026-03-20T00:01:09,107.71,1.0,SetByBid
2026-03-20T00:01:09,107.71,1.0,SetByBid
2026-03-20T00:01:09,107.72,1.0,SetByBid
2026-03-20T00:01:09,107.73,1.0,SetByBid
2026-03-20T00:01:09,107.73,1.0,SetByBid
2026-03-20T00:01:09,107.73,1.0,SetByBid
2026-03-20T00:01:09,107.74,1.0,SetByBid
2026-03-20T00:01:09,107.74,1.0,SetByBid
2026-03-20T00:01:09,107.74,1.0,"SetByBid, Leg"
2026-03-20T00:01:09,107.74,1.0,SetByAsk
2026-03-20T00:01:09,107.74,1.0,SetByBid
2026-03-20T00:01:09,107.73,1.0,SetByBid
2026-03-20T00:01:10,107.73,1.0,SetByAsk
2026-03-20T00:01:10,107.73,1.0,SetByAsk
2026-03-20T00:01:14,107.77,1.0,SetByBid
2026-03-20T00:01:16,107.75,1.0,SetByAsk
2026-03-20T00:01:21,107.72,1.0,SetByAsk
2026-03-20T00:01:21,107.72,1.0,SetByAsk
2026-03-20T00:01:26,107.74,1.0,SetByBid
2026-03-20T00:01:27,107.75,1.0,SetByBid
