signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,out_of_frame_category,selector_objective,test_month,selected_params,exclusion_reason
2026-01-12 03:16:13,2026-01-12 07:16:13,2026-01-12 03:16:43,2026-01-12 07:16:43,2026-01-12 04:16:43,2026-01-12 08:16:43,Outside 11:00-24:00 Dubai,1,53.999999999999915,309.0,63.33,63.05,-28.000000000000114,2.5332,-30.533200000000114,Excluded: before 11:00 Dubai,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-15 00:15:00,2026-01-15 04:15:00,2026-01-15 00:15:30,2026-01-15 04:15:30,2026-01-15 01:15:30,2026-01-15 05:15:30,Outside 11:00-24:00 Dubai,-1,-235.99999999999923,12848.0,63.92,63.91,1.0000000000005116,2.5568,-1.5567999999994884,Excluded: before 11:00 Dubai,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-29 20:45:27,2026-01-30 00:45:27,2026-01-29 20:45:57,2026-01-30 00:45:57,2026-01-29 21:45:57,2026-01-30 01:45:57,Outside 11:00-24:00 Dubai,-1,-50.99999999999909,1638.0,68.45,68.92,-46.999999999999886,2.738,-49.737999999999886,Excluded: before 11:00 Dubai,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-30 06:20:38,2026-01-30 10:20:38,2026-01-30 06:21:08,2026-01-30 10:21:08,2026-01-30 07:21:08,2026-01-30 11:21:08,Outside 11:00-24:00 Dubai,-1,-59.00000000000034,1428.0,67.62,67.6,2.000000000001023,2.7048,-0.7047999999989769,Excluded: before 11:00 Dubai,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-02-02 03:08:21,2026-02-02 07:08:21,2026-02-02 03:08:51,2026-02-02 07:08:51,2026-02-02 03:23:51,2026-02-02 07:23:51,Outside 11:00-24:00 Dubai,-1,-42.00000000000017,42.0,66.83,66.94,-10.999999999999943,2.6732,-13.673199999999943,Excluded: before 11:00 Dubai,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-02-03 02:50:23,2026-02-03 06:50:23,2026-02-03 02:50:53,2026-02-03 06:50:53,2026-02-03 03:05:53,2026-02-03 07:05:53,Outside 11:00-24:00 Dubai,-1,-35.00000000000085,16.0,65.31,65.27,4.000000000000625,2.6124,1.3876000000006252,Excluded: before 11:00 Dubai,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-02-04 21:27:00,2026-02-05 01:27:00,2026-02-04 21:27:30,2026-02-05 01:27:30,2026-02-04 21:42:30,2026-02-05 01:42:30,Outside 11:00-24:00 Dubai,1,34.00000000000034,610.0,67.71,68.83,112.00000000000045,2.7083999999999997,109.29160000000046,Excluded: before 11:00 Dubai,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-02-20 01:22:02,2026-02-20 05:22:02,2026-02-20 01:22:32,2026-02-20 05:22:32,2026-02-20 01:37:32,2026-02-20 05:37:32,Outside 11:00-24:00 Dubai,-1,-31.999999999999318,621.0,70.98,71.35,-36.999999999999034,2.8392000000000004,-39.83919999999903,Excluded: before 11:00 Dubai,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-02-26 22:08:25,2026-02-27 02:08:25,2026-02-26 22:08:55,2026-02-27 02:08:55,2026-02-26 22:23:55,2026-02-27 02:23:55,Outside 11:00-24:00 Dubai,1,32.00000000000074,2742.0,71.93,71.63,-30.000000000001137,2.8772,-32.87720000000114,Excluded: before 11:00 Dubai,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-03-03 05:00:02,2026-03-03 09:00:02,2026-03-03 05:00:03,2026-03-03 09:00:03,2026-03-03 06:00:03,2026-03-03 10:00:03,Outside 11:00-24:00 Dubai,1,75.0,847.0,78.75,78.61,-14.000000000000057,3.15,-17.150000000000055,Excluded: before 11:00 Dubai,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-03-04 05:01:13,2026-03-04 09:01:13,2026-03-04 05:01:14,2026-03-04 09:01:14,2026-03-04 06:01:14,2026-03-04 10:01:14,Outside 11:00-24:00 Dubai,-1,-80.00000000000114,685.0,81.64,82.04,-40.00000000000057,3.2656,-43.26560000000057,Excluded: before 11:00 Dubai,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-03-06 00:04:36,2026-03-06 04:04:36,2026-03-06 00:04:37,2026-03-06 04:04:37,2026-03-06 01:04:37,2026-03-06 05:04:37,Outside 11:00-24:00 Dubai,-1,-90.99999999999966,3684.0,85.12,84.5,62.000000000000455,3.4048000000000003,58.59520000000045,Excluded: before 11:00 Dubai,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-03-09 02:47:41,2026-03-09 06:47:41,2026-03-09 02:47:42,2026-03-09 06:47:42,2026-03-09 03:47:42,2026-03-09 07:47:42,Outside 11:00-24:00 Dubai,1,75.0,1318.0,108.74,107.49,-125.0,4.3496,-129.3496,Excluded: before 11:00 Dubai,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-03-10 00:27:27,2026-03-10 04:27:27,2026-03-10 00:27:28,2026-03-10 04:27:28,2026-03-10 01:27:28,2026-03-10 05:27:28,Outside 11:00-24:00 Dubai,-1,-81.00000000000023,865.0,89.53,90.58,-104.99999999999972,3.5812,-108.58119999999971,Excluded: before 11:00 Dubai,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum,Signal outside 11:00-24:00 Dubai tradable window
