signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,out_of_frame_category,exclusion_reason
2025-10-23 01:24:54,2025-10-23 05:24:54,2025-10-23 01:26:54,2025-10-23 05:26:54,2025-10-23 07:26:54,2025-10-23 11:26:54,Outside 11:00-24:00 Dubai,1,75.0,834.0,63.64,63.75,10.999999999999943,2.5456,8.454399999999943,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2025-11-14 05:18:29,2025-11-14 09:18:29,2025-11-14 05:20:29,2025-11-14 09:20:29,2025-11-14 11:20:29,2025-11-14 15:20:29,Outside 11:00-24:00 Dubai,1,75.0,7484.0,63.82,63.74,-7.9999999999998295,2.5528,-10.552799999999829,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-01-15 00:30:00,2026-01-15 04:30:00,2026-01-15 00:32:00,2026-01-15 04:32:00,2026-01-15 06:32:00,2026-01-15 10:32:00,Outside 11:00-24:00 Dubai,-1,-236.99999999999903,17311.0,63.88,63.93,-4.999999999999716,2.5552,-7.555199999999716,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-01-30 06:30:13,2026-01-30 10:30:13,2026-01-30 06:32:13,2026-01-30 10:32:13,2026-01-30 12:32:13,2026-01-30 16:32:13,Outside 11:00-24:00 Dubai,-1,-76.9999999999996,2107.0,67.24,67.66,-42.00000000000017,2.6896,-44.68960000000017,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-02-02 03:30:00,2026-02-02 07:30:00,2026-02-02 03:32:00,2026-02-02 07:32:00,2026-02-02 09:32:00,2026-02-02 13:32:00,Outside 11:00-24:00 Dubai,-1,-129.00000000000063,1558.0,66.84,65.04,179.99999999999972,2.6736,177.32639999999972,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-02-03 03:11:02,2026-02-03 07:11:02,2026-02-03 03:13:02,2026-02-03 07:13:02,2026-02-03 09:13:02,2026-02-03 13:13:02,Outside 11:00-24:00 Dubai,-1,-77.00000000000102,221.0,65.27,65.22,4.999999999999716,2.6108,2.389199999999716,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-02-06 06:35:15,2026-02-06 10:35:15,2026-02-06 06:37:15,2026-02-06 10:37:15,2026-02-06 12:37:15,2026-02-06 16:37:15,Outside 11:00-24:00 Dubai,1,76.00000000000051,1507.0,67.4,67.8,39.99999999999915,2.696,37.30399999999915,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-02 03:30:00,2026-03-02 07:30:00,2026-03-02 03:32:00,2026-03-02 07:32:00,2026-03-02 09:32:00,2026-03-02 13:32:00,Outside 11:00-24:00 Dubai,-1,-196.9999999999999,44173.0,79.52,77.61,190.99999999999966,3.1808,187.81919999999965,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-03 00:30:00,2026-03-03 04:30:00,2026-03-03 00:32:00,2026-03-03 04:32:00,2026-03-03 06:32:00,2026-03-03 10:32:00,Outside 11:00-24:00 Dubai,1,194.0000000000012,27613.0,79.28,79.1,-18.000000000000682,3.1712000000000002,-21.17120000000068,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-04 00:39:58,2026-03-04 04:39:58,2026-03-04 00:41:58,2026-03-04 04:41:58,2026-03-04 06:41:58,2026-03-04 10:41:58,Outside 11:00-24:00 Dubai,1,80.00000000000114,5893.0,80.77,82.24,146.9999999999999,3.2308,143.7691999999999,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-05 01:20:52,2026-03-05 05:20:52,2026-03-05 01:22:52,2026-03-05 05:22:52,2026-03-05 07:22:52,2026-03-05 11:22:52,Outside 11:00-24:00 Dubai,1,75.0,2294.0,82.35,83.88,153.0000000000001,3.294,149.7060000000001,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-06 00:30:00,2026-03-06 04:30:00,2026-03-06 00:32:00,2026-03-06 04:32:00,2026-03-06 06:32:00,2026-03-06 10:32:00,Outside 11:00-24:00 Dubai,-1,-146.9999999999999,29681.0,84.51,84.15,35.99999999999994,3.3804000000000003,32.61959999999994,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-09 02:30:00,2026-03-09 06:30:00,2026-03-09 02:32:00,2026-03-09 06:32:00,2026-03-09 08:32:00,2026-03-09 12:32:00,Outside 11:00-24:00 Dubai,1,630.0000000000011,35166.0,107.4,115.78,837.9999999999995,4.296,833.7039999999995,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-10 00:30:00,2026-03-10 04:30:00,2026-03-10 00:32:00,2026-03-10 04:32:00,2026-03-10 06:32:00,2026-03-10 10:32:00,Outside 11:00-24:00 Dubai,-1,-75.0,15204.0,89.16,89.0,15.999999999999659,3.5664,12.43359999999966,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
