signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,side_label,params
2025-10-01 12:41:28,2025-10-01 16:41:28,2025-10-01 12:43:28,2025-10-01 16:43:28,2025-10-01 18:43:28,2025-10-01 22:43:28,Inside 11:00-24:00 Dubai,-1,-75.99999999999909,17185.0,65.77,65.39,37.999999999999545,2.6308,35.369199999999545,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-10-07 17:07:08,2025-10-07 21:07:08,2025-10-07 17:09:08,2025-10-07 21:09:08,2025-10-07 23:09:08,2025-10-08 03:09:08,Inside 11:00-24:00 Dubai,-1,-75.0,11114.0,64.67,65.73,-106.00000000000023,2.5868,-108.58680000000022,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-10-10 17:16:50,2025-10-10 21:16:50,2025-10-10 17:18:50,2025-10-10 21:18:50,2025-10-10 23:18:50,2025-10-11 03:18:50,Inside 11:00-24:00 Dubai,-1,-75.0,7115.0,63.06,62.28,78.00000000000011,2.5224,75.47760000000011,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-10-21 17:56:56,2025-10-21 21:56:56,2025-10-21 17:58:56,2025-10-21 21:58:56,2025-10-21 23:58:56,2025-10-22 03:58:56,Inside 11:00-24:00 Dubai,-1,-75.0,6016.0,60.34,61.17,-82.99999999999983,2.4136,-85.41359999999983,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-10-28 12:00:59,2025-10-28 16:00:59,2025-10-28 12:02:59,2025-10-28 16:02:59,2025-10-28 18:02:59,2025-10-28 22:02:59,Inside 11:00-24:00 Dubai,-1,-76.00000000000051,9090.0,63.9,64.19,-28.999999999999915,2.556,-31.555999999999916,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-10-31 17:04:32,2025-10-31 21:04:32,2025-10-31 17:06:32,2025-10-31 21:06:32,2025-10-31 23:06:32,2025-11-01 03:06:32,Inside 11:00-24:00 Dubai,1,75.0,28934.0,64.99,64.67,-31.999999999999318,2.5995999999999997,-34.59959999999932,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-11-14 15:55:45,2025-11-14 19:55:45,2025-11-14 15:57:45,2025-11-14 19:57:45,2025-11-14 21:57:45,2025-11-15 01:57:45,Inside 11:00-24:00 Dubai,-1,-75.0,12171.0,63.69,64.43,-74.00000000000091,2.5476,-76.54760000000091,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-11-21 16:25:21,2025-11-21 20:25:21,2025-11-21 16:27:21,2025-11-21 20:27:21,2025-11-21 22:27:21,2025-11-22 02:27:21,Inside 11:00-24:00 Dubai,1,75.9999999999998,10117.0,62.9,62.29,-60.99999999999994,2.516,-63.51599999999994,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2025-11-25 16:43:34,2025-11-25 20:43:34,2025-11-25 16:45:34,2025-11-25 20:45:34,2025-11-25 22:45:34,2025-11-26 02:45:34,Inside 11:00-24:00 Dubai,-1,-75.9999999999998,7287.0,61.52,61.61,-8.99999999999963,2.4608000000000003,-11.460799999999631,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-01-14 14:08:58,2026-01-14 18:08:58,2026-01-14 14:10:58,2026-01-14 18:10:58,2026-01-14 20:10:58,2026-01-15 00:10:58,Inside 11:00-24:00 Dubai,1,76.9999999999996,4197.0,64.79,65.32,52.99999999999869,2.5916,50.40839999999869,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-01-27 17:44:04,2026-01-27 21:44:04,2026-01-27 17:46:04,2026-01-27 21:46:04,2026-01-27 23:46:04,2026-01-28 03:46:04,Inside 11:00-24:00 Dubai,1,75.0,2236.0,65.1,65.97,87.00000000000045,2.6039999999999996,84.39600000000046,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
