label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,selector_objective,train_start,train_end,test_start,test_end
a=60s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,60,10.0,60,21600,300,2.0,momentum,474.00000000000273,474.00000000000273,6.155844155844191,2.735717293720455,4.507799052908575,-158.9999999999997,0.4675324675324675,0.8051948051948052,77,62,0.5806451612903226,7.6451612903226245,1.707462686567168,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=20c/60s | hold=10800s | vol off | momentum,1,20.0,60,10800,300,0.0,momentum,464.9999999999985,464.9999999999985,6.03896103896102,2.7751870966638257,5.3071757324503155,-129.00000000000097,0.24675324675324675,0.5324675324675324,77,41,0.4634146341463415,11.341463414634111,1.9607438016528835,14,27,0.5324675324675324,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,30,10.0,60,21600,300,2.0,momentum,462.0000000000001,462.0000000000001,6.000000000000002,2.7080258938460156,4.373301945400901,-167.00000000000236,0.4675324675324675,0.8051948051948052,77,62,0.5806451612903226,7.451612903225809,1.6947368421052598,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=120s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,120,10.0,60,21600,300,2.0,momentum,458.9999999999951,458.9999999999951,5.961038961038898,2.584460438160295,4.234621149195914,-174.00000000000168,0.45454545454545453,0.8051948051948052,77,62,0.5645161290322581,7.403225806451532,1.6575931232091585,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=20c/60s | hold=10800s | vol off | momentum,60,20.0,60,10800,300,0.0,momentum,454.0,454.0,5.896103896103896,2.6673089413788857,5.200180593227958,-125.00000000000105,0.2597402597402597,0.5324675324675324,77,41,0.4878048780487805,11.073170731707316,1.907999999999998,14,27,0.5324675324675324,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=20c/60s | hold=10800s | vol off | momentum,30,20.0,60,10800,300,0.0,momentum,444.0000000000026,444.0000000000026,5.766233766233801,2.662141318286925,5.477713769355062,-121.99999999999952,0.2857142857142857,0.5324675324675324,77,41,0.5365853658536586,10.829268292682993,1.921161825726144,14,27,0.5324675324675324,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=20c/60s | hold=10800s | vol off | momentum,10,20.0,60,10800,300,0.0,momentum,441.99999999999807,441.99999999999807,5.740259740259715,2.626017866745589,5.077840622920089,-120.00000000000134,0.24675324675324675,0.5324675324675324,77,41,0.4634146341463415,10.780487804878002,1.88577154308616,14,27,0.5324675324675324,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=10c/30s | hold=21600s | vol>2x/300s | momentum,60,10.0,30,21600,300,2.0,momentum,437.00000000000307,437.00000000000307,5.675324675324715,2.366506651093318,3.5619337282179107,-221.99999999999923,0.45454545454545453,0.7792207792207793,77,60,0.5833333333333334,7.2833333333333865,1.6198581560283727,24,36,0.7792207792207793,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,10,10.0,60,21600,300,2.0,momentum,431.00000000000557,431.00000000000557,5.597402597402669,2.499393923533516,3.9704827655844235,-183.9999999999997,0.4675324675324675,0.8051948051948052,77,62,0.5806451612903226,6.951612903225898,1.6404160475482976,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=5s | move=20c/60s | hold=10800s | vol off | momentum,5,20.0,60,10800,300,0.0,momentum,423.9999999999967,423.9999999999967,5.506493506493464,2.509871497624707,4.7626172601724415,-138.0000000000006,0.22077922077922077,0.5324675324675324,77,41,0.4146341463414634,10.341463414634068,1.8330058939096092,14,27,0.5324675324675324,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=10c/30s | hold=21600s | vol>2x/300s | momentum,30,10.0,30,21600,300,2.0,momentum,420.0000000000008,420.0000000000008,5.454545454545465,2.308780727517632,3.5334088488677753,-225.00000000000148,0.45454545454545453,0.7792207792207793,77,60,0.5833333333333334,7.000000000000015,1.5949008498583552,24,36,0.7792207792207793,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=10s | move=20c/60s | hold=10800s | vol>2x/300s | momentum,10,20.0,60,10800,300,2.0,momentum,411.99999999999943,411.99999999999943,5.350649350649343,2.4422004533914294,4.631501462149961,-108.00000000000034,0.23376623376623376,0.4805194805194805,77,37,0.4864864864864865,11.135135135135119,1.8340080971659838,10,27,0.4805194805194805,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=60s | move=20c/60s | hold=10800s | vol>2x/300s | momentum,60,20.0,60,10800,300,2.0,momentum,410.99999999999966,410.99999999999966,5.337662337662334,2.4214924779059777,4.656667493562153,-132.99999999999892,0.22077922077922077,0.4805194805194805,77,37,0.4594594594594595,11.108108108108098,1.8353658536585324,10,27,0.4805194805194805,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=30s | move=20c/60s | hold=10800s | vol>2x/300s | momentum,30,20.0,60,10800,300,2.0,momentum,409.9999999999998,409.9999999999998,5.324675324675321,2.4472360130793103,4.787357518118644,-106.99999999999983,0.24675324675324675,0.4805194805194805,77,37,0.5135135135135135,11.081081081081077,1.8523908523908452,10,27,0.4805194805194805,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,1,10.0,60,21600,300,2.0,momentum,407.0000000000018,407.0000000000018,5.28571428571431,2.3468509946701106,3.728908475895922,-195.00000000000034,0.44155844155844154,0.8051948051948052,77,62,0.5483870967741935,6.564516129032287,1.5873015873015903,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
