stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,total_pnl_cents,trades,daily_sharpe,win_rate,profit_factor,max_drawdown_cents,top_trade_pnl_cents,top_trade_removed_pnl_cents,subfold_1_pnl_cents,subfold_2_pnl_cents,subfold_3_pnl_cents,profitable_train_subfolds,consistency_gate_pass,top_trade_gate_pass,neighborhood_count,neighborhood_gate_pass,survives_base_gates,survives_all_gates,eligible_for_selection,selection_mode,z_sharpe,z_top_trade_removed_pnl,z_profit_factor,z_neighborhood_count,z_drawdown,composite_score,is_winner,winner_is_top_composite,rank,elimination_reason,stage2_source
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a120_b0.5_c3600_d14400_continuation,a=120s | b=0.5x sigma | c=3600s | d=14400s | continuation,120,0.5,3600,14400,continuation,377.42960000000335,63,2.0126210729798304,0.5873015873015873,1.37835672531973,-204.66079999999704,136.40299999999817,241.02660000000517,130.07600000000372,126.88920000000329,120.46439999999646,3,True,True,3,True,True,True,True,strict_all_gates,1.0,1.0000000000000002,1.0,0.0,-1.0,0.55,True,True,1.0,survived,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,127.92999999999876,63,1.046382335320914,0.5079365079365079,1.174848208848004,-207.6716000000069,72.219,55.71099999999876,62.07220000000593,-30.61560000000551,96.47339999999835,2,True,True,3,True,True,True,True,strict_all_gates,-1.0,-0.9999999999999999,-1.0,0.0,1.0,-0.5499999999999999,False,True,2.0,survived,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c900_d1800_continuation,a=60s | b=0.3x sigma | c=900s | d=1800s | continuation,60,0.3,900,1800,continuation,-169.05079999999973,63,-2.9780588751498867,0.3968253968253968,0.6182758841822242,-255.4821999999962,31.21860000000034,-200.26940000000008,-201.41359999999744,-5.120000000001717,37.48279999999943,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c900_d1800_reversal,a=60s | b=0.3x sigma | c=900s | d=1800s | reversal,60,0.3,900,1800,reversal,-209.0508000000003,63,-3.7003920494488853,0.36507936507936506,0.5554596281058134,-296.1383999999965,25.902999999999203,-234.9537999999995,63.58639999999744,-115.1199999999983,-157.5171999999994,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c900_d7200_continuation,a=60s | b=0.3x sigma | c=900s | d=7200s | continuation,60,0.3,900,7200,continuation,-342.5507999999911,63,-2.8657165921905188,0.42857142857142855,0.6444767983121821,-350.5189999999912,69.21859999999988,-411.769399999991,-147.91359999999634,-31.119999999997948,-163.51719999999682,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c900_d7200_reversal,a=60s | b=0.3x sigma | c=900s | d=7200s | reversal,60,0.3,900,7200,reversal,-35.550800000008884,63,-0.29725334749822324,0.5238095238095238,0.9551364288795157,-261.3946000000006,55.558400000000795,-91.10920000000968,10.08639999999636,-89.12000000000204,43.48279999999682,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c900_d14400_continuation,a=60s | b=0.3x sigma | c=900s | d=14400s | continuation,60,0.3,900,14400,continuation,-158.55079999999657,63,-0.7992433658244765,0.4603174603174603,0.8817766857493292,-380.0019999999987,118.21860000000079,-276.76939999999735,-102.4135999999965,-28.619999999998797,-27.51720000000114,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c900_d14400_reversal,a=60s | b=0.3x sigma | c=900s | d=14400s | reversal,60,0.3,900,14400,reversal,-219.55080000000345,63,-1.1070237410285138,0.42857142857142855,0.8401752584193928,-376.11020000000076,141.90499999999886,-361.45580000000234,-35.41360000000342,-91.62000000000117,-92.51719999999884,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d1800_continuation,a=60s | b=0.3x sigma | c=1800s | d=1800s | continuation,60,0.3,1800,1800,continuation,-67.06079999999729,63,-1.236656674070469,0.47619047619047616,0.8148076961313964,-141.5671999999983,24.00339999999818,-91.06419999999547,-19.42099999999813,-15.117800000001147,-32.521999999998,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d1800_reversal,a=60s | b=0.3x sigma | c=1800s | d=1800s | reversal,60,0.3,1800,1800,reversal,-311.0608000000027,63,-5.731257818637742,0.2857142857142857,0.4066666946426119,-295.1232000000033,31.21860000000034,-342.279400000003,-118.42100000000192,-105.11779999999887,-87.522000000002,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d7200_continuation,a=60s | b=0.3x sigma | c=1800s | d=7200s | continuation,60,0.3,1800,7200,continuation,-406.0608000000001,63,-3.377311333393804,0.4603174603174603,0.5898581242798361,-430.4279999999983,53.40519999999977,-459.46599999999984,-181.4209999999972,-98.61780000000336,-126.02199999999965,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d7200_reversal,a=60s | b=0.3x sigma | c=1800s | d=7200s | reversal,60,0.3,1800,7200,reversal,27.939200000000163,63,0.23250811885814848,0.47619047619047616,1.0364081319904248,-202.17699999999908,69.21859999999988,-41.27939999999972,43.57899999999716,-21.617799999996645,5.977999999999675,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d14400_continuation,a=60s | b=0.3x sigma | c=1800s | d=14400s | continuation,60,0.3,1800,14400,continuation,-1.5608000000027928,63,-0.0078459809561365,0.47619047619047616,0.9987665488165468,-404.90680000000293,142.90519999999938,-144.46600000000217,169.07899999999813,-45.11780000000085,-125.52200000000008,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d14400_reversal,a=60s | b=0.3x sigma | c=1800s | d=14400s | reversal,60,0.3,1800,14400,reversal,-376.56079999999713,63,-1.892428641877009,0.4126984126984127,0.743387100445312,-345.1231999999977,118.21860000000079,-494.7793999999979,-306.9209999999982,-75.11779999999915,5.4780000000001365,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d1800_continuation,a=60s | b=0.3x sigma | c=3600s | d=1800s | continuation,60,0.3,3600,1800,continuation,-87.55679999999712,63,-1.5725914138737234,0.47619047619047616,0.7711522055502655,-145.03619999999444,31.21860000000034,-118.77539999999746,12.078199999997395,7.3856000000025475,-107.02059999999706,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d1800_reversal,a=60s | b=0.3x sigma | c=3600s | d=1800s | reversal,60,0.3,3600,1800,reversal,-290.55680000000285,63,-5.206918052553902,0.30158730158730157,0.4407421950186627,-325.79520000000554,29.403799999998864,-319.9606000000017,-149.9217999999974,-127.61440000000256,-13.020600000002965,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d7200_continuation,a=60s | b=0.3x sigma | c=3600s | d=7200s | continuation,60,0.3,3600,7200,continuation,-217.55680000000393,63,-1.7663027416493708,0.5079365079365079,0.7602389270324744,-391.2962000000025,69.21859999999988,-286.7754000000038,-293.92180000000144,14.38559999999477,61.97940000000272,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d7200_reversal,a=60s | b=0.3x sigma | c=3600s | d=7200s | reversal,60,0.3,3600,7200,reversal,-160.55679999999606,63,-1.3056300037983948,0.42857142857142855,0.8200668464539872,-336.569599999998,46.929,-207.48579999999606,156.0782000000014,-134.6143999999948,-182.0206000000027,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
