date,sigma_window_seconds,sigma_min_real_prints,real_prints_in_session,forward_filled_seconds_in_session,session_seconds,fraction_session_seconds_with_valid_sigma,min_real_prints_in_valid_sigma_window
2025-01-02,3600,900,39548,7252,46800,1.0,1858
2025-01-03,3600,900,38535,8265,46800,1.0,1964
2025-01-06,3600,900,39904,6896,46800,1.0,2024
2025-01-07,3600,900,40670,6130,46800,1.0,1952
2025-01-08,3600,900,40934,5866,46800,1.0,1984
2025-01-09,3600,900,37485,9315,46800,1.0,2029
2025-01-10,3600,900,43229,3571,46800,1.0,2209
2025-01-13,3600,900,43380,3420,46800,1.0,2402
2025-01-14,3600,900,42261,4539,46800,1.0,2535
2025-01-15,3600,900,41216,5584,46800,1.0,2409
2025-01-16,3600,900,41321,5479,46800,1.0,2454
2025-01-17,3600,900,40059,6741,46800,1.0,2352
2025-01-20,3600,900,33610,13190,46800,1.0,979
2025-01-21,3600,900,41198,5602,46800,1.0,2236
2025-01-22,3600,900,39898,6902,46800,1.0,2372
2025-01-23,3600,900,39212,7588,46800,1.0,2014
2025-01-24,3600,900,38470,8330,46800,1.0,2323
2025-02-03,3600,900,41603,5197,46800,1.0,1690
2025-02-04,3600,900,40698,6102,46800,1.0,2046
2025-02-05,3600,900,40344,6456,46800,1.0,2056
2025-02-06,3600,900,39303,7497,46800,1.0,1848
2025-02-07,3600,900,38576,8224,46800,1.0,1830
2025-02-10,3600,900,37095,9705,46800,1.0,1839
2025-02-11,3600,900,39560,7240,46800,1.0,2150
2025-02-12,3600,900,39801,6999,46800,1.0,1893
2025-02-13,3600,900,40818,5982,46800,1.0,2497
2025-02-14,3600,900,39312,7488,46800,1.0,1845
2025-02-17,3600,900,29823,16977,46800,1.0,909
2025-02-18,3600,900,37959,8841,46800,1.0,1965
2025-02-19,3600,900,37378,9422,46800,1.0,1992
2025-02-20,3600,900,37569,9231,46800,1.0,1898
2025-02-21,3600,900,38024,8776,46800,1.0,1651
2025-03-03,3600,900,39590,7210,46800,1.0,1904
2025-03-04,3600,900,42453,4347,46800,1.0,2155
2025-03-05,3600,900,43018,3782,46800,1.0,2041
2025-03-06,3600,900,42549,4251,46800,1.0,2248
2025-03-07,3600,900,41280,5520,46800,1.0,2304
2025-03-10,3600,900,41322,5478,46800,1.0,1711
2025-03-11,3600,900,41375,5425,46800,1.0,2167
2025-03-12,3600,900,39448,7352,46800,1.0,2015
2025-03-13,3600,900,40639,6161,46800,1.0,2040
2025-03-14,3600,900,38671,8129,46800,1.0,2002
2025-03-17,3600,900,38190,8610,46800,1.0,1853
2025-03-18,3600,900,39512,7288,46800,1.0,1938
2025-03-19,3600,900,38329,8471,46800,1.0,2105
2025-03-20,3600,900,37820,8980,46800,1.0,1876
2025-03-21,3600,900,37540,9260,46800,1.0,1826
2025-03-24,3600,900,37037,9763,46800,1.0,1655
2025-04-01,3600,900,41125,5675,46800,1.0,2117
2025-04-02,3600,900,41395,5405,46800,1.0,2360
2025-04-03,3600,900,44596,2204,46800,1.0,2683
2025-04-04,3600,900,46049,751,46800,1.0,2563
2025-04-07,3600,900,46029,771,46800,1.0,3291
2025-04-08,3600,900,45366,1434,46800,1.0,3125
2025-04-09,3600,900,45698,1102,46800,1.0,3251
2025-04-10,3600,900,44815,1985,46800,1.0,3059
2025-04-11,3600,900,44342,2458,46800,1.0,2886
2025-04-14,3600,900,39184,7616,46800,1.0,2171
2025-04-15,3600,900,38455,8345,46800,1.0,1944
