skip_reason,date,signal_time_utc,entry_time_utc,selected_symbol,contract_expiry_date,days_to_expiry,a,b,c,affected_parameter_count,stage
forward_filled_entry,2025-01-02,2025-01-02 07:00:02,2025-01-02 07:01:02,F:BRN\H25,2025-01-31,21.0,60,0.5,900,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:04:19,2025-01-02 07:05:19,F:BRN\H25,2025-01-31,21.0,60,0.5,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:06:58,2025-01-02 07:07:58,F:BRN\H25,2025-01-31,21.0,60,0.7,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:00:00,2025-01-02 07:02:00,F:BRN\H25,2025-01-31,21.0,120,0.3,900,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:00:00,2025-01-02 07:02:00,F:BRN\H25,2025-01-31,21.0,120,0.3,1800,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:00:05,2025-01-02 07:02:05,F:BRN\H25,2025-01-31,21.0,120,0.3,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:00:00,2025-01-02 07:02:00,F:BRN\H25,2025-01-31,21.0,120,0.5,1800,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:04:19,2025-01-02 07:06:19,F:BRN\H25,2025-01-31,21.0,120,0.5,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:00:05,2025-01-02 07:02:05,F:BRN\H25,2025-01-31,21.0,120,0.7,1800,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:06:58,2025-01-02 07:08:58,F:BRN\H25,2025-01-31,21.0,120,0.7,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:07:24,2025-01-02 07:09:24,F:BRN\H25,2025-01-31,21.0,120,0.9,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:07:13,2025-01-02 07:12:13,F:BRN\H25,2025-01-31,21.0,300,0.7,900,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:06:58,2025-01-02 07:11:58,F:BRN\H25,2025-01-31,21.0,300,0.7,3600,6,1
forward_filled_entry,2025-01-02,2025-01-02 07:08:04,2025-01-02 07:13:04,F:BRN\H25,2025-01-31,21.0,300,0.9,900,6,1
