run_key,run_label,fill_model,selector_kind,month,month_pnl_cents,month_share_of_total,trades
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-04,78.76819999999918,-0.13317055620815127,7
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-05,-111.54280000000219,0.18858139092952514,4
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-06,335.9401999999988,-0.5679619857592009,7
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-07,48.11239999999909,-0.0813419002657037,1
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-08,53.69539999999977,-0.09078087710293252,1
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-09,-84.30240000000154,0.14252702864458466,7
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-10,2.699600000003173,-0.004564116401542138,22
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-11,613.5622000000068,-1.0373274931037995,20
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-12,182.03479999999922,-0.30775967414819333,22
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-01,-99.20039999999584,0.16771454018335663,21
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-02,-89.82680000000087,0.15186693257429526,20
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-03,-1521.4240000000018,2.5722167106577616,18
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-04,50.78419999999906,0.0392068488190659,7
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-05,-38.26260000000125,-0.029539816982929096,2
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-06,293.5511999999951,0.22662988722979588,14
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-07,196.5116000000025,0.1517125521794769,7
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-08,0.0,0.0,0
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09,-84.30240000000154,-0.06508385387353828,7
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10,2.699600000003173,0.002084168089131593,22
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-11,149.3061999999996,0.11526863889062562,6
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-12,182.03479999999922,0.1405360502559654,22
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-01,272.3152000000004,0.21023509039295504,10
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-02,-93.27239999999696,-0.07200894935415722,13
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03,363.9236000000005,0.2809593843536079,16
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-04,-23.086599999998032,-0.06579264598343015,5
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-05,-2.634,-0.007506424918366922,1
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-06,227.13919999999993,0.647305752018955,3
