delay_s,sigma_multiple,move_window_s,hold_s,signal_mode,vol_window_days,bad_hour_rule,label
60,0.25,900,1800,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=1800s | continuation | exit_by_midnight
60,0.25,900,1800,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=1800s | reversal | exit_by_midnight
60,0.25,900,3600,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight
60,0.25,900,3600,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=3600s | reversal | exit_by_midnight
60,0.25,900,7200,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=7200s | continuation | exit_by_midnight
60,0.25,900,7200,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=7200s | reversal | exit_by_midnight
60,0.25,900,14400,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=14400s | continuation | exit_by_midnight
60,0.25,900,14400,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=14400s | reversal | exit_by_midnight
60,0.25,900,21600,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=21600s | continuation | exit_by_midnight
60,0.25,900,21600,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight
60,0.25,1200,1800,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=1800s | continuation | exit_by_midnight
60,0.25,1200,1800,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=1800s | reversal | exit_by_midnight
60,0.25,1200,3600,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=3600s | continuation | exit_by_midnight
60,0.25,1200,3600,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=3600s | reversal | exit_by_midnight
60,0.25,1200,7200,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=7200s | continuation | exit_by_midnight
60,0.25,1200,7200,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=7200s | reversal | exit_by_midnight
60,0.25,1200,14400,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=14400s | continuation | exit_by_midnight
60,0.25,1200,14400,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=14400s | reversal | exit_by_midnight
60,0.25,1200,21600,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=21600s | continuation | exit_by_midnight
60,0.25,1200,21600,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1200s | d=21600s | reversal | exit_by_midnight
60,0.25,1800,1800,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=1800s | continuation | exit_by_midnight
60,0.25,1800,1800,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=1800s | reversal | exit_by_midnight
60,0.25,1800,3600,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=3600s | continuation | exit_by_midnight
60,0.25,1800,3600,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=3600s | reversal | exit_by_midnight
60,0.25,1800,7200,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=7200s | continuation | exit_by_midnight
60,0.25,1800,7200,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=7200s | reversal | exit_by_midnight
60,0.25,1800,14400,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=14400s | continuation | exit_by_midnight
60,0.25,1800,14400,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=14400s | reversal | exit_by_midnight
60,0.25,1800,21600,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
60,0.25,1800,21600,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=1800s | d=21600s | reversal | exit_by_midnight
60,0.25,2400,1800,continuation,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=2400s | d=1800s | continuation | exit_by_midnight
60,0.25,2400,1800,reversal,63,exit_by_midnight,a=60s | b=0.25x rolling sigma | c=2400s | d=1800s | reversal | exit_by_midnight
