params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,signal_mode,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,removed_top_win_cents,deflated_total_pnl_cents,deflated_daily_sharpe,deflated_max_drawdown_cents,deflated_trades,deflated_win_rate,deflated_profit_factor,run_key,run_label,fill_model,selector_kind,train_start,train_end,test_start,test_end,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,robust_top_trade_neutral_score
a=180s | b=0.55x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,180,0.55,900,3600,63,continuation,496.76540000000546,496.76540000000546,6.451498701298772,4.227204614486513,5.716104010105564,-37.83379999999943,0.12987012987012986,0.15584415584415584,77,12,0.8333333333333334,41.397116666667124,10.8702825783737,5,7,0.15584415584415584,2,3,0.6666666666666666,332.48220000000083,0.6692941980258633,149.9990000000001,0.3019513838926754,346.7664000000053,149.9990000000001,346.7664000000053,4.043825814603838,-37.83379999999943,11,0.8181818181818182,7.889937094421992,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=60s | b=0.55x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,60,0.55,900,3600,63,continuation,470.2637999999969,470.2637999999969,6.107322077922038,3.335325546032195,4.3176167370494065,-57.51460000000159,0.1038961038961039,0.15584415584415584,77,12,0.6666666666666666,39.18864999999974,4.857498626024207,5,7,0.15584415584415584,2,3,0.6666666666666666,323.96659999999866,0.6889039726213262,182.01139999999944,0.38704106078333195,288.25239999999746,182.01139999999944,288.2523999999974,2.8570760234994057,-57.51460000000159,11,0.6363636363636364,3.3644882658375495,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=300s | b=0.45x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight,300,0.45,1800,21600,63,continuation,465.904600000006,465.904600000006,6.0507090909091685,2.5093859392518176,3.685414606156259,-134.29559999999816,0.24675324675324675,0.4805194805194805,77,37,0.5135135135135135,12.592016216216381,1.8228491599391892,13,24,0.4805194805194805,2,3,0.6666666666666666,305.96819999999764,0.6567185642725865,131.47219999999987,0.2821869541532713,334.4324000000061,131.47219999999987,334.43240000000617,1.9457082952276183,-134.29559999999816,36,0.5,1.5906518617683711,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=120s | b=0.55x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,120,0.55,900,3600,63,continuation,465.76179999999954,465.76179999999954,6.04885454545454,3.903959269441011,17.33866799656603,-34.833799999999314,0.12987012987012986,0.15584415584415584,77,12,0.8333333333333334,38.813483333333295,8.532259733874985,5,7,0.15584415584415584,2,3,0.6666666666666666,312.47059999999914,0.6708806948100927,141.49479999999932,0.30379219592504036,324.2670000000002,141.49479999999932,324.2670000000002,3.5202449469359447,-34.833799999999314,11,0.8181818181818182,6.244018009043337,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=300s | b=0.55x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,300,0.55,900,3600,63,continuation,464.2729999999995,464.2729999999995,6.0295194805194745,4.42297987372065,21.367383838653993,-15.326799999999992,0.12987012987012986,0.15584415584415584,77,12,0.8333333333333334,38.689416666666624,20.09127170149495,5,7,0.15584415584415584,2,3,0.6666666666666666,313.9805999999992,0.6762844274812438,133.99140000000045,0.28860476486894693,330.28159999999906,133.99140000000045,330.28159999999906,4.3041485411038805,-15.326799999999992,11,0.8181818181818182,14.581439721035807,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=90s | b=0.55x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,90,0.55,900,3600,63,continuation,459.2636000000026,459.2636000000026,5.964462337662372,3.5884215612820585,4.270446519128756,-47.13499999999925,0.1038961038961039,0.15584415584415584,77,12,0.6666666666666666,38.27196666666688,5.890767399115367,5,7,0.15584415584415584,2,3,0.6666666666666666,315.9666000000017,0.6879852877519574,162.00340000000057,0.35274600469098716,297.26020000000204,162.00340000000057,297.260200000002,3.1782058713388626,-47.13499999999922,11,0.6363636363636364,4.1655687392044864,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=60s | b=0.45x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight,60,0.45,1800,21600,63,continuation,434.9390000000115,434.9390000000115,5.648558441558591,2.2636102606227197,3.5369526819205275,-152.30179999999882,0.24675324675324675,0.4805194805194805,77,37,0.5135135135135135,11.755108108108422,1.70646432423304,13,24,0.4805194805194805,2,3,0.6666666666666666,334.49540000000445,0.7690627881151049,127.59099999999926,0.2933537806450925,307.34800000001223,127.59099999999926,307.3480000000123,1.7111809360858177,-152.30179999999882,36,0.5,1.499220343828397,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=90s | b=0.45x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight,90,0.45,1800,21600,63,continuation,430.9353999999996,430.9353999999996,5.596563636363632,2.234385970734599,3.502129711302069,-148.80239999999912,0.2597402597402597,0.4805194805194805,77,37,0.5405405405405406,11.646902702702693,1.7032068100205187,13,24,0.4805194805194805,2,3,0.6666666666666666,324.98400000000026,0.7541362348045683,131.0895999999989,0.3041977985563475,299.84580000000074,131.0895999999989,299.84580000000074,1.6693624325735834,-148.80239999999912,36,0.5277777777777778,1.4892928464824446,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=90s | b=0.4x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,90,0.4,900,3600,63,continuation,425.9216000000008,425.9216000000008,5.531449350649361,2.980951955160417,5.049997957682275,-142.62900000000155,0.23376623376623376,0.42857142857142855,77,33,0.5454545454545454,12.906715151515177,2.565968836631309,7,26,0.42857142857142855,3,3,1.0,331.05040000000173,0.7772566594415524,179.01060000000075,0.42029002520651787,246.91100000000006,179.01060000000075,246.91100000000012,2.3564607189182727,-142.62900000000153,32,0.53125,1.9078077548109131,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=120s | b=0.4x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,120,0.4,900,3600,63,continuation,425.422399999997,425.422399999997,5.524966233766195,2.964912112436367,4.623786811673145,-139.1338000000004,0.2597402597402597,0.42857142857142855,77,33,0.6060606060606061,12.891587878787787,2.591970961344138,7,26,0.42857142857142855,3,3,1.0,331.059999999996,0.778191275306609,185.01180000000096,0.43488965320115314,240.41059999999607,185.01180000000096,240.41059999999615,2.3476416036644197,-139.13380000000046,32,0.59375,1.899639262058878,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=180s | b=0.6x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,180,0.6,900,3600,63,continuation,424.0026000000031,424.0026000000031,5.506527272727313,3.817322710605932,4.606132655926683,-37.83379999999943,0.11688311688311688,0.14285714285714285,77,11,0.8181818181818182,38.54569090909119,9.683382074660493,5,6,0.14285714285714285,2,3,0.6666666666666666,326.47980000000206,0.7699948066356189,138.99180000000018,0.32780883890806134,285.0108000000029,138.99180000000018,285.0108000000029,3.4683040426619005,-37.83379999999943,10,0.8,6.8368926789709565,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=60s | b=0.7x rolling sigma | c=1200s | d=3600s | continuation | exit_by_midnight,60,0.7,1200,3600,63,continuation,420.44539999999824,420.44539999999824,5.460329870129847,3.350870994329017,0.0,-50.51139999999944,0.07792207792207792,0.09090909090909091,77,7,0.8571428571428571,60.06362857142833,9.323772455326791,3,4,0.09090909090909091,2,3,0.6666666666666666,283.50059999999985,0.6742863639369132,167.00379999999888,0.3972068668131452,253.44159999999937,167.00379999999888,253.44159999999937,2.9144886373930166,-50.51139999999943,6,0.8333333333333334,6.017512878280867,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=180s | b=0.45x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight,180,0.45,1800,21600,63,continuation,414.4245999999962,414.4245999999962,5.3821376623376125,2.180920615394213,3.424041989042336,-139.7991999999988,0.24675324675324675,0.4805194805194805,77,37,0.5135135135135135,11.200664864864763,1.6585799418373608,13,24,0.4805194805194805,2,3,0.6666666666666666,266.985399999999,0.6442315441699201,132.08920000000086,0.3187291488005347,282.33539999999533,132.08920000000086,282.3353999999954,1.6015609079212638,-139.7991999999988,36,0.5,1.448671317558433,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=60s | b=0.4x rolling sigma | c=3600s | d=7200s | reversal | exit_by_midnight,60,0.4,3600,7200,63,reversal,412.1164000000075,412.1164000000075,5.352161038961136,3.1839769215410922,4.657369394272587,-194.6561999999963,0.36363636363636365,0.5454545454545454,77,42,0.6666666666666666,9.812295238095418,2.2161145138273493,28,14,0.5454545454545454,2,3,0.6666666666666666,415.38400000000075,1.0079288278748266,146.01179999999948,0.35429747517933485,266.104600000008,146.01179999999948,266.104600000008,2.5905776008528805,-194.65619999999637,41,0.6585365853658537,1.7852482120493744,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=180s | b=0.25x rolling sigma | c=1800s | d=21600s | reversal | exit_by_midnight,180,0.25,1800,21600,63,reversal,405.51059999999245,405.51059999999245,5.266371428571331,2.123234556169026,2.122597808176588,-310.31859999999745,0.38961038961038963,0.5844155844155844,77,45,0.6666666666666666,9.0113466666665,1.5739920863351982,23,22,0.5844155844155844,3,3,1.0,188.37799999999427,0.4645451931466102,117.00379999999886,0.2885345044001342,288.5067999999936,117.00379999999886,288.5067999999936,1.5987616729305034,-310.31859999999745,44,0.6590909090909091,1.4083755641748725,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
