stage,param_id,parameter_set,a,b,c,d,direction,side,side_sign,signal_time_utc,signal_move_cents,signal_sigma_cents,entry_time_utc,entry_time_dubai,entry_dubai_date,exit_time_utc,exit_time_dubai,hold_seconds,source_type,selected_symbol,mid_entry_px,mid_exit_px,mid_dynamic_cost_cents,mid_dynamic_pnl_cents,actual_entry_px,actual_exit_px,actual_pnl_cents,actual_fill_status,actual_entry_side,actual_exit_side,entry_px,exit_px,pnl_cents,fill_status,entry_fill_side,exit_fill_side,fill_model,full_period_label,selection_reason,is_in_sample_visual
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-02 07:00:00,4.5000000000001705,7.469236126965795,2025-01-02 07:02:00,2025-01-02 11:02:00,2025-01-02,2025-01-02 09:02:00,2025-01-02 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,74.86500000000001,74.88,2.9946000000000006,-4.494599999998636,74.86,74.89,-3.0000000000001137,actual_bid_ask,bid,ask,74.86,74.89,-3.0000000000001137,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-03 07:00:28,-3.999999999999204,7.144153704030483,2025-01-03 07:02:28,2025-01-03 11:02:28,2025-01-03,2025-01-03 09:02:28,2025-01-03 13:02:28,7200,parquet_prompt_bid_ask,F:BRN\H25,75.93,75.775,3.0372000000000003,-18.537200000000112,75.94,75.77,-17.00000000000017,actual_bid_ask,ask,bid,75.94,75.77,-17.00000000000017,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-06 07:01:44,3.499999999999659,6.76662867506638,2025-01-06 07:03:44,2025-01-06 11:03:44,2025-01-06,2025-01-06 09:03:44,2025-01-06 13:03:44,7200,parquet_prompt_bid_ask,F:BRN\H25,76.28999999999999,76.17,3.0515999999999996,8.948399999999033,76.28,76.18,9.999999999999432,actual_bid_ask,bid,ask,76.28,76.18,9.999999999999432,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-07 07:00:00,3.999999999999204,6.747800696378707,2025-01-07 07:02:00,2025-01-07 11:02:00,2025-01-07,2025-01-07 09:02:00,2025-01-07 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,76.265,75.945,3.0506,28.94940000000074,76.26,75.95,31.000000000000227,actual_bid_ask,bid,ask,76.26,75.95,31.000000000000227,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-08 07:08:20,4.000000000000625,7.073741570044749,2025-01-08 07:10:20,2025-01-08 11:10:20,2025-01-08,2025-01-08 09:10:20,2025-01-08 13:10:20,7200,parquet_prompt_bid_ask,F:BRN\H25,77.405,77.785,3.0962,-41.09619999999955,77.4,77.79,-39.00000000000006,actual_bid_ask,bid,ask,77.4,77.79,-39.00000000000006,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-09 07:01:25,4.000000000002046,7.845419796984309,2025-01-09 07:03:25,2025-01-09 11:03:25,2025-01-09,2025-01-09 09:03:25,2025-01-09 13:03:25,7200,parquet_prompt_bid_ask,F:BRN\H25,76.295,76.155,3.0518,10.948200000000057,76.29,76.16,13.000000000000966,actual_bid_ask,bid,ask,76.29,76.16,13.000000000000966,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-10 07:00:00,-3.999999999999204,7.684258645000555,2025-01-10 07:02:00,2025-01-10 11:02:00,2025-01-10,2025-01-10 09:02:00,2025-01-10 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,77.375,77.91499999999999,3.095,50.904999999999205,77.38,77.91,53.000000000000114,actual_bid_ask,ask,bid,77.38,77.91,53.000000000000114,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-13 07:00:00,-6.000000000000227,11.87925908634255,2025-01-13 07:02:00,2025-01-13 11:02:00,2025-01-13,2025-01-13 09:02:00,2025-01-13 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,81.09,81.41499999999999,3.2436000000000003,29.256399999998862,81.1,81.41,31.000000000000227,actual_bid_ask,ask,bid,81.1,81.41,31.000000000000227,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-14 07:00:00,8.499999999997954,10.162897360432366,2025-01-14 07:02:00,2025-01-14 11:02:00,2025-01-14,2025-01-14 09:02:00,2025-01-14 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,80.505,80.86500000000001,3.2201999999999997,-39.22020000000136,80.5,80.87,-37.000000000000455,actual_bid_ask,bid,ask,80.5,80.87,-37.000000000000455,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-15 07:05:04,-6.000000000000227,11.493771587995145,2025-01-15 07:07:04,2025-01-15 11:07:04,2025-01-15,2025-01-15 09:07:04,2025-01-15 13:07:04,7200,parquet_prompt_bid_ask,F:BRN\H25,80.22,79.92,3.2088,-33.20879999999971,80.23,79.91,-32.00000000000074,actual_bid_ask,ask,bid,80.23,79.91,-32.00000000000074,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-16 07:00:00,-7.499999999998863,12.975923199135591,2025-01-16 07:02:00,2025-01-16 11:02:00,2025-01-16,2025-01-16 09:02:00,2025-01-16 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,82.22999999999999,81.87,3.2891999999999997,-39.28919999999852,82.24,81.86,-37.999999999999545,actual_bid_ask,ask,bid,82.24,81.86,-37.999999999999545,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-17 07:00:18,6.999999999999318,11.003639806344214,2025-01-17 07:02:18,2025-01-17 11:02:18,2025-01-17,2025-01-17 09:02:18,2025-01-17 13:02:18,7200,parquet_prompt_bid_ask,F:BRN\H25,81.525,81.65,3.261,-15.761,81.52,81.66,-14.000000000000057,actual_bid_ask,bid,ask,81.52,81.66,-14.000000000000057,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-01-20 07:00:00,11.50000000000091,10.060592290784715,2025-01-20 07:02:00,2025-01-20 11:02:00,2025-01-20,2025-01-20 09:02:00,2025-01-20 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,80.625,80.445,3.225,14.775000000000682,80.62,80.45,17.00000000000017,actual_bid_ask,bid,ask,80.62,80.45,17.00000000000017,actual_bid_ask,bid,ask,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-21 07:00:00,-6.499999999999773,8.904558205827389,2025-01-21 07:02:00,2025-01-21 11:02:00,2025-01-21,2025-01-21 09:02:00,2025-01-21 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,79.9,79.445,3.196,-48.69600000000125,79.91,79.44,-46.999999999999886,actual_bid_ask,ask,bid,79.91,79.44,-46.999999999999886,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-01-22 07:00:00,-4.999999999999716,7.939916195275071,2025-01-22 07:02:00,2025-01-22 11:02:00,2025-01-22,2025-01-22 09:02:00,2025-01-22 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\H25,79.045,79.39500000000001,3.1618,31.838200000000853,79.05,79.39,34.00000000000034,actual_bid_ask,ask,bid,79.05,79.39,34.00000000000034,actual_bid_ask,ask,bid,actual_bid_ask,visual_in_sample_full_period,most_common_oos_fold_winner,True
