label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,stage
a=5s | move=75c/60s | hold=14400s | vol off | momentum,5,75.0,60,14400,300,0.0,momentum,4053.0000000000055,4053.0000000000055,57.0845070422536,4.902712133661001,13.645807193330155,-208.9999999999991,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,184.22727272727298,12.258333333333319,8,14,0.30985915492957744,stage1_coarse
a=1s | move=75c/60s | hold=14400s | vol off | momentum,1,75.0,60,14400,300,0.0,momentum,3998.0000000000005,3998.0000000000005,56.30985915492958,4.76329382109701,11.143862525528984,-242.00000000000045,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,181.72727272727272,11.173027989821827,8,14,0.30985915492957744,stage1_coarse
a=10s | move=75c/60s | hold=14400s | vol off | momentum,10,75.0,60,14400,300,0.0,momentum,3954.000000000002,3954.000000000002,55.690140845070445,4.873821157262535,14.429641974863802,-216.0,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,179.72727272727278,12.138028169014053,8,14,0.30985915492957744,stage1_coarse
a=30s | move=75c/60s | hold=14400s | vol off | momentum,30,75.0,60,14400,300,0.0,momentum,3797.000000000001,3797.000000000001,53.47887323943663,4.89179962440024,19.122259462567147,-226.99999999999955,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,172.59090909090912,11.374316939890681,8,14,0.30985915492957744,stage1_coarse
a=30s | move=10c/180s | hold=28800s | vol off | momentum,30,10.0,180,28800,300,0.0,momentum,3794.0,3794.0,53.436619718309856,5.558338421637111,20.289940498771752,-380.9999999999991,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,63.23333333333334,4.153782211138822,32,28,0.8450704225352113,stage1_coarse
a=5s | move=100c/120s | hold=14400s | vol off | momentum,5,100.0,120,14400,300,0.0,momentum,3773.000000000004,3773.000000000004,53.14084507042259,4.655081465593184,16.16633417107953,-222.9999999999991,0.2112676056338028,0.2676056338028169,71,19,0.7894736842105263,198.57894736842127,11.115281501340519,8,11,0.2676056338028169,stage1_coarse
a=10s | move=100c/120s | hold=14400s | vol off | momentum,10,100.0,120,14400,300,0.0,momentum,3761.0000000000027,3761.0000000000027,52.97183098591553,4.6390075080993975,16.44643211440439,-235.99999999999864,0.2112676056338028,0.2676056338028169,71,19,0.7894736842105263,197.94736842105277,10.426065162907287,8,11,0.2676056338028169,stage1_coarse
a=10s | move=75c/120s | hold=14400s | vol off | momentum,10,75.0,120,14400,300,0.0,momentum,3753.0,3753.0,52.859154929577464,4.445360143519875,13.922685471771256,-415.00000000000136,0.22535211267605634,0.3380281690140845,71,24,0.6666666666666666,156.37499999999997,5.639060568603209,9,15,0.3380281690140845,stage1_coarse
a=5s | move=10c/180s | hold=28800s | vol off | momentum,5,10.0,180,28800,300,0.0,momentum,3750.9999999999995,3750.9999999999995,52.83098591549295,5.382899492480169,19.659629694812903,-383.99999999999983,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,62.51666666666666,4.0347896440129425,32,28,0.8450704225352113,stage1_coarse
a=1s | move=10c/180s | hold=28800s | vol off | momentum,1,10.0,180,28800,300,0.0,momentum,3735.9999999999977,3735.9999999999977,52.619718309859124,5.402489593341083,19.909244326645357,-388.00000000000193,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,62.26666666666663,4.020210185933704,32,28,0.8450704225352113,stage1_coarse
a=60s | move=100c/120s | hold=10800s | vol>2x/300s | momentum,60,100.0,120,10800,300,2.0,momentum,3726.0000000000036,3726.0000000000036,52.47887323943667,4.737856617048339,9.09055445954776,-215.0,0.2112676056338028,0.2676056338028169,71,19,0.7894736842105263,196.10526315789494,11.615384615384611,8,11,0.2676056338028169,stage1_coarse
a=1s | move=10c/30s | hold=28800s | vol off | momentum,1,10.0,30,28800,300,0.0,momentum,3698.999999999995,3698.999999999995,52.098591549295705,4.91106555193025,12.392116934359816,-461.00000000000273,0.4225352112676056,0.8309859154929577,71,59,0.5084745762711864,62.694915254237216,3.3396584440227626,29,30,0.8309859154929577,stage1_coarse
a=5s | move=75c/120s | hold=14400s | vol off | momentum,5,75.0,120,14400,300,0.0,momentum,3692.0000000000027,3692.0000000000027,52.000000000000036,4.368122309136988,13.29413984997264,-429.99999999999955,0.22535211267605634,0.3380281690140845,71,24,0.6666666666666666,153.83333333333346,5.4004767580453,9,15,0.3380281690140845,stage1_coarse
a=10s | move=10c/180s | hold=28800s | vol off | momentum,10,10.0,180,28800,300,0.0,momentum,3687.999999999999,3687.999999999999,51.94366197183097,5.399561367951568,19.189910810691106,-367.9999999999974,0.4507042253521127,0.8450704225352113,71,60,0.5333333333333333,61.466666666666654,4.040395713107988,32,28,0.8450704225352113,stage1_coarse
a=60s | move=75c/60s | hold=14400s | vol off | momentum,60,75.0,60,14400,300,0.0,momentum,3681.000000000001,3681.000000000001,51.84507042253522,4.718583955202439,16.13573929165755,-220.00000000000045,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,167.31818181818187,10.763925729442985,8,14,0.30985915492957744,stage1_coarse
a=1s | move=100c/120s | hold=14400s | vol off | momentum,1,100.0,120,14400,300,0.0,momentum,3679.9999999999986,3679.9999999999986,51.83098591549294,4.610324754553266,10.85230313596717,-253.99999999999955,0.2112676056338028,0.2676056338028169,71,19,0.7894736842105263,193.68421052631572,10.509043927648563,8,11,0.2676056338028169,stage1_coarse
a=10s | move=10c/30s | hold=28800s | vol off | momentum,10,10.0,30,28800,300,0.0,momentum,3672.999999999994,3672.999999999994,51.7323943661971,4.92969147907754,11.132006408155211,-442.00000000000153,0.43661971830985913,0.8309859154929577,71,59,0.5254237288135594,62.25423728813549,3.3246835443037903,29,30,0.8309859154929577,stage1_coarse
a=30s | move=10c/180s | hold=21600s | vol off | momentum,30,10.0,180,21600,300,0.0,momentum,3668.000000000001,3668.000000000001,51.66197183098593,3.963234857181751,13.133567097521263,-252.99999999999685,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,61.13333333333335,3.5812807881773416,32,28,0.8450704225352113,stage1_coarse
a=60s | move=10c/180s | hold=28800s | vol off | momentum,60,10.0,180,28800,300,0.0,momentum,3658.9999999999905,3658.9999999999905,51.5352112676055,5.374219339979953,18.669201512084726,-420.00000000000057,0.4507042253521127,0.8450704225352113,71,60,0.5333333333333333,60.98333333333317,4.082561078348762,32,28,0.8450704225352113,stage1_coarse
a=120s | move=10c/180s | hold=28800s | vol off | momentum,120,10.0,180,28800,300,0.0,momentum,3653.9999999999945,3653.9999999999945,51.46478873239429,5.63958131461706,23.468694177021543,-395.00000000000125,0.4788732394366197,0.8450704225352113,71,60,0.5666666666666667,60.899999999999906,4.352293577981623,32,28,0.8450704225352113,stage1_coarse
a=1s | move=75c/30s | hold=14400s | vol off | momentum,1,75.0,30,14400,300,0.0,momentum,3622.999999999998,3622.999999999998,51.02816901408448,4.223952969684444,11.355552095869422,-233.0,0.18309859154929578,0.23943661971830985,71,17,0.7647058823529411,213.11764705882342,10.953296703296656,7,10,0.23943661971830985,stage1_coarse
a=30s | move=100c/120s | hold=14400s | vol off | momentum,30,100.0,120,14400,300,0.0,momentum,3617.000000000001,3617.000000000001,50.943661971831,4.703469163008941,12.865315120407123,-233.0,0.19718309859154928,0.2676056338028169,71,19,0.7368421052631579,190.36842105263162,10.697050938337735,8,11,0.2676056338028169,stage1_coarse
a=120s | move=10c/180s | hold=21600s | vol off | momentum,120,10.0,180,21600,300,0.0,momentum,3611.0000000000027,3611.0000000000027,50.85915492957751,4.015840256381017,12.050530460784332,-312.99999999999886,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,60.18333333333338,3.6072202166065006,32,28,0.8450704225352113,stage1_coarse
a=1s | move=75c/120s | hold=14400s | vol off | momentum,1,75.0,120,14400,300,0.0,momentum,3606.000000000004,3606.000000000004,50.78873239436626,4.293579085835031,11.419674683103757,-457.9999999999991,0.22535211267605634,0.3380281690140845,71,24,0.6666666666666666,150.25000000000014,5.097727272727276,9,15,0.3380281690140845,stage1_coarse
a=10s | move=100c/300s | hold=14400s | vol off | momentum,10,100.0,300,14400,300,0.0,momentum,3605.000000000001,3605.000000000001,50.77464788732396,4.8241743675794115,9.127110305522868,-237.0,0.2112676056338028,0.28169014084507044,71,20,0.75,180.25000000000006,9.23059360730593,11,9,0.28169014084507044,stage1_coarse
a=5s | move=100c/180s | hold=14400s | vol off | momentum,5,100.0,180,14400,300,0.0,momentum,3603.0000000000036,3603.0000000000036,50.74647887323949,4.605594271399664,17.65365090191488,-140.0,0.2112676056338028,0.28169014084507044,71,20,0.75,180.15000000000018,9.244851258581246,8,12,0.28169014084507044,stage1_coarse
a=30s | move=10c/30s | hold=28800s | vol off | momentum,30,10.0,30,28800,300,0.0,momentum,3601.999999999996,3601.999999999996,50.73239436619713,4.879222908632402,11.301999116623787,-392.9999999999984,0.4647887323943662,0.8309859154929577,71,59,0.559322033898305,61.05084745762705,3.343526350032529,29,30,0.8309859154929577,stage1_coarse
a=120s | move=10c/30s | hold=28800s | vol off | momentum,120,10.0,30,28800,300,0.0,momentum,3599.0000000000014,3599.0000000000014,50.690140845070445,5.09706563682285,14.787556478894183,-302.0,0.43661971830985913,0.8309859154929577,71,59,0.5254237288135594,61.00000000000002,3.6231778425655987,29,30,0.8309859154929577,stage1_coarse
a=5s | move=10c/180s | hold=21600s | vol off | momentum,5,10.0,180,21600,300,0.0,momentum,3592.0000000000023,3592.0000000000023,50.591549295774676,3.7785577861566555,12.089140181369178,-280.00000000000045,0.4084507042253521,0.8450704225352113,71,60,0.48333333333333334,59.86666666666669,3.4418762746430986,32,28,0.8450704225352113,stage1_coarse
a=1s | move=10c/180s | hold=21600s | vol off | momentum,1,10.0,180,21600,300,0.0,momentum,3591.9999999999977,3591.9999999999977,50.59154929577461,3.835276004978012,12.809696649165428,-259.0000000000033,0.4084507042253521,0.8450704225352113,71,60,0.48333333333333334,59.86666666666663,3.477241379310333,32,28,0.8450704225352113,stage1_coarse
a=10s | move=100c/120s | hold=10800s | vol>2x/300s | momentum,10,100.0,120,10800,300,2.0,momentum,3588.999999999995,3588.999999999995,50.54929577464782,4.567568781755614,11.652055724421185,-196.00000000000023,0.19718309859154928,0.2676056338028169,71,19,0.7368421052631579,188.894736842105,8.46153846153841,8,11,0.2676056338028169,stage1_coarse
a=5s | move=100c/300s | hold=14400s | vol off | momentum,5,100.0,300,14400,300,0.0,momentum,3588.000000000001,3588.000000000001,50.535211267605646,4.854159114994221,8.903320364828767,-246.0,0.22535211267605634,0.28169014084507044,71,20,0.8,179.40000000000003,9.08108108108106,11,9,0.28169014084507044,stage1_coarse
a=5s | move=75c/30s | hold=14400s | vol off | momentum,5,75.0,30,14400,300,0.0,momentum,3587.0000000000027,3587.0000000000027,50.52112676056342,4.2730671767300334,10.352959150283342,-252.0,0.18309859154929578,0.23943661971830985,71,17,0.7647058823529411,211.00000000000017,10.316883116883103,7,10,0.23943661971830985,stage1_coarse
a=5s | move=10c/30s | hold=28800s | vol off | momentum,5,10.0,30,28800,300,0.0,momentum,3586.9999999999986,3586.9999999999986,50.52112676056336,4.865836517453629,12.117555773017822,-456.0000000000016,0.39436619718309857,0.8309859154929577,71,59,0.4745762711864407,60.79661016949149,3.260239445494643,29,30,0.8309859154929577,stage1_coarse
