label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,train_start,train_end,test_start,test_end
a=60s | move=100c/120s | hold=10800s | vol off | momentum,60,100.0,120,10800,300,0.0,momentum,35.00000000000006,35.00000000000006,0.4545454545454553,1.809068067466128,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,35.00000000000006,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=60s | move=100c/120s | hold=10800s | vol>2x/300s | momentum,60,100.0,120,10800,300,2.0,momentum,35.00000000000006,35.00000000000006,0.4545454545454553,1.809068067466128,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,35.00000000000006,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=100c/120s | hold=10800s | vol off | momentum,1,100.0,120,10800,300,0.0,momentum,32.999999999999744,32.999999999999744,0.4285714285714253,1.809068067466101,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,32.999999999999744,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=100c/180s | hold=10800s | vol off | momentum,1,100.0,180,10800,300,0.0,momentum,32.999999999999744,32.999999999999744,0.4285714285714253,1.809068067466101,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,32.999999999999744,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=100c/120s | hold=10800s | vol off | momentum,5,100.0,120,10800,300,0.0,momentum,31.000000000000142,31.000000000000142,0.40259740259740445,1.80906806746607,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,31.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=100c/180s | hold=10800s | vol off | momentum,5,100.0,180,10800,300,0.0,momentum,31.000000000000142,31.000000000000142,0.40259740259740445,1.80906806746607,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,31.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=100c/120s | hold=10800s | vol>2x/300s | momentum,5,100.0,120,10800,300,2.0,momentum,31.000000000000142,31.000000000000142,0.40259740259740445,1.80906806746607,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,31.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=10s | move=100c/180s | hold=10800s | vol off | momentum,10,100.0,180,10800,300,0.0,momentum,22.999999999999602,22.999999999999602,0.2987012987012935,1.809068067465891,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,22.999999999999602,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=10s | move=100c/120s | hold=10800s | vol off | momentum,10,100.0,120,10800,300,0.0,momentum,22.999999999999602,22.999999999999602,0.2987012987012935,1.809068067465891,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,22.999999999999602,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=10s | move=100c/120s | hold=10800s | vol>2x/300s | momentum,10,100.0,120,10800,300,2.0,momentum,22.999999999999602,22.999999999999602,0.2987012987012935,1.809068067465891,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,22.999999999999602,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=75c/120s | hold=14400s | vol off | momentum,1,75.0,120,14400,300,0.0,momentum,21.0,21.0,0.2727272727272727,1.8090680674658257,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,21.0,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=75c/180s | hold=14400s | vol off | momentum,5,75.0,180,14400,300,0.0,momentum,21.0,21.0,0.2727272727272727,1.8090680674658257,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,21.0,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=30s | move=100c/180s | hold=10800s | vol off | momentum,30,100.0,180,10800,300,0.0,momentum,20.0000000000002,20.0000000000002,0.2597402597402623,1.8090680674657877,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,20.0000000000002,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=30s | move=100c/120s | hold=10800s | vol>2x/300s | momentum,30,100.0,120,10800,300,2.0,momentum,20.0000000000002,20.0000000000002,0.2597402597402623,1.8090680674657877,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,20.0000000000002,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=30s | move=100c/120s | hold=10800s | vol off | momentum,30,100.0,120,10800,300,0.0,momentum,20.0000000000002,20.0000000000002,0.2597402597402623,1.8090680674657877,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,20.0000000000002,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=70c/75s | hold=18000s | vol off | momentum,1,70.0,75,18000,300,0.0,momentum,17.999999999999886,17.999999999999886,0.2337662337662323,1.8090680674656996,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,17.999999999999886,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=72.5c/75s | hold=18000s | vol off | momentum,1,72.5,75,18000,300,0.0,momentum,17.999999999999886,17.999999999999886,0.2337662337662323,1.8090680674656996,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,17.999999999999886,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=75c/120s | hold=14400s | vol off | momentum,5,75.0,120,14400,300,0.0,momentum,17.000000000000085,17.000000000000085,0.22077922077922188,1.8090680674656485,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,17.000000000000085,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=3s | move=70c/75s | hold=18000s | vol off | momentum,3,70.0,75,18000,300,0.0,momentum,14.999999999999773,14.999999999999773,0.19480519480519184,1.8090680674655233,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,14.999999999999773,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=3s | move=72.5c/75s | hold=18000s | vol off | momentum,3,72.5,75,18000,300,0.0,momentum,14.999999999999773,14.999999999999773,0.19480519480519184,1.8090680674655233,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,14.999999999999773,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=10s | move=75c/120s | hold=14400s | vol off | momentum,10,75.0,120,14400,300,0.0,momentum,13.999999999999972,13.999999999999972,0.18181818181818146,1.8090680674654478,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,13.999999999999972,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=120s | move=100c/120s | hold=10800s | vol off | momentum,120,100.0,120,10800,300,0.0,momentum,13.999999999999972,13.999999999999972,0.18181818181818146,1.8090680674654478,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,13.999999999999972,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=70c/75s | hold=18000s | vol off | momentum,5,70.0,75,18000,300,0.0,momentum,13.999999999999972,13.999999999999972,0.18181818181818146,1.8090680674654478,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,13.999999999999972,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=72.5c/75s | hold=18000s | vol off | momentum,5,72.5,75,18000,300,0.0,momentum,13.999999999999972,13.999999999999972,0.18181818181818146,1.8090680674654478,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,13.999999999999972,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=60s | move=100c/120s | hold=7200s | vol off | momentum,60,100.0,120,7200,300,0.0,momentum,13.00000000000017,13.00000000000017,0.16883116883117105,1.8090680674653599,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,13.00000000000017,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=7s | move=70c/75s | hold=18000s | vol off | momentum,7,70.0,75,18000,300,0.0,momentum,10.999999999999858,10.999999999999858,0.14285714285714102,1.809068067465139,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,10.999999999999858,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=7s | move=72.5c/75s | hold=18000s | vol off | momentum,7,72.5,75,18000,300,0.0,momentum,10.999999999999858,10.999999999999858,0.14285714285714102,1.809068067465139,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,10.999999999999858,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=100c/180s | hold=7200s | vol off | momentum,1,100.0,180,7200,300,0.0,momentum,6.999999999999943,6.999999999999943,0.09090909090909018,1.8090680674643138,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,6.999999999999943,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=100c/120s | hold=7200s | vol off | momentum,5,100.0,120,7200,300,0.0,momentum,6.000000000000142,6.000000000000142,0.07792207792207977,1.8090680674639368,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,6.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=72.5c/75s | hold=16200s | vol off | momentum,1,72.5,75,16200,300,0.0,momentum,6.000000000000142,6.000000000000142,0.07792207792207977,1.8090680674639368,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,6.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=70c/75s | hold=16200s | vol off | momentum,1,70.0,75,16200,300,0.0,momentum,6.000000000000142,6.000000000000142,0.07792207792207977,1.8090680674639368,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,6.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=100c/180s | hold=7200s | vol off | momentum,5,100.0,180,7200,300,0.0,momentum,6.000000000000142,6.000000000000142,0.07792207792207977,1.8090680674639368,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,6.000000000000142,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=75c/300s | hold=21600s | vol off | momentum,5,75.0,300,21600,300,0.0,momentum,5.999999999999432,5.999999999999432,0.07792207792207054,1.8090680674639368,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,5.999999999999432,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=10s | move=70c/75s | hold=18000s | vol off | momentum,10,70.0,75,18000,300,0.0,momentum,4.9999999999996305,4.9999999999996305,0.06493506493506014,1.8090680674634076,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,4.9999999999996305,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=10s | move=72.5c/75s | hold=18000s | vol off | momentum,10,72.5,75,18000,300,0.0,momentum,4.9999999999996305,4.9999999999996305,0.06493506493506014,1.8090680674634076,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,4.9999999999996305,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=300s | move=100c/300s | hold=14400s | vol off | momentum,300,100.0,300,14400,300,0.0,momentum,4.00000000000054,4.00000000000054,0.05194805194805896,1.8090680674626134,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,4.00000000000054,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=3s | move=70c/75s | hold=16200s | vol off | momentum,3,70.0,75,16200,300,0.0,momentum,3.0000000000000284,3.0000000000000284,0.03896103896103933,1.8090680674612911,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,3.0000000000000284,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=3s | move=72.5c/75s | hold=16200s | vol off | momentum,3,72.5,75,16200,300,0.0,momentum,3.0000000000000284,3.0000000000000284,0.03896103896103933,1.8090680674612911,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,3.0000000000000284,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=72.5c/75s | hold=16200s | vol off | momentum,5,72.5,75,16200,300,0.0,momentum,2.0000000000002274,2.0000000000002274,0.025974025974028928,1.8090680674586448,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,2.0000000000002274,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=5s | move=70c/75s | hold=16200s | vol off | momentum,5,70.0,75,16200,300,0.0,momentum,2.0000000000002274,2.0000000000002274,0.025974025974028928,1.8090680674586448,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,2.0000000000002274,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=100c/300s | hold=14400s | vol off | momentum,1,100.0,300,14400,300,0.0,momentum,2.0000000000002274,2.0000000000002274,0.025974025974028928,1.8090680674586448,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,2.0000000000002274,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
