stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,total_pnl_cents,trades,daily_sharpe,win_rate,profit_factor,max_drawdown_cents,top_trade_pnl_cents,top_trade_removed_pnl_cents,subfold_1_pnl_cents,subfold_2_pnl_cents,subfold_3_pnl_cents,profitable_train_subfolds,consistency_gate_pass,top_trade_gate_pass,neighborhood_count,neighborhood_gate_pass,survives_base_gates,survives_all_gates,eligible_for_selection,selection_mode,z_sharpe,z_top_trade_removed_pnl,z_profit_factor,z_neighborhood_count,z_drawdown,composite_score,is_winner,winner_is_top_composite,rank,elimination_reason,stage2_source
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a120_b0.5_c3600_d14400_continuation,a=120s | b=0.5x sigma | c=3600s | d=14400s | continuation,120,0.5,3600,14400,continuation,377.42960000000335,63,2.0126210729798304,0.5873015873015873,1.37835672531973,-204.66079999999704,136.40299999999817,241.02660000000517,130.07600000000372,126.88920000000329,120.46439999999646,3,True,True,3,True,True,True,True,strict_all_gates,1.0,1.0000000000000002,1.0,0.0,-1.0,0.55,True,True,1.0,survived,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,127.92999999999876,63,1.046382335320914,0.5079365079365079,1.174848208848004,-207.6716000000069,72.219,55.71099999999876,62.07220000000593,-30.61560000000551,96.47339999999835,2,True,True,3,True,True,True,True,strict_all_gates,-1.0,-0.9999999999999999,-1.0,0.0,1.0,-0.5499999999999999,False,True,2.0,survived,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a120_b0.9_c3600_d1800_continuation,a=120s | b=0.9x sigma | c=3600s | d=1800s | continuation,120,0.9,3600,1800,continuation,180.3793999999997,62,2.1345730375082703,0.5,1.5314345244443697,-120.03719999999761,78.46300000000022,101.91639999999947,-43.60259999999368,-75.03620000000342,299.0181999999969,1,False,True,0,False,False,False,True,fallback_no_base_gate_survivors,2.440343006444486,2.277981428438318,3.540193593915003,0.0,-1.4687995624796015,1.6123073637582355,True,True,1.0,train_subfold_consistency,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a60_b0.9_c3600_d1800_continuation,a=60s | b=0.9x sigma | c=3600s | d=1800s | continuation,60,0.9,3600,1800,continuation,170.896400000007,62,2.04110700633553,0.5483870967741935,1.5201109755771287,-112.0627999999946,83.41420000000136,87.48220000000563,-30.601999999995574,-80.52639999999842,282.024800000001,1,False,True,0,False,False,False,True,fallback_no_base_gate_survivors,2.373156658622625,2.2021565177224445,3.483968978378385,0.0,-1.5075940591034338,1.5589423649086411,False,True,2.0,train_subfold_consistency,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a60_b0.5_c1800_d14400_continuation,a=60s | b=0.5x sigma | c=1800s | d=14400s | continuation,60,0.5,1800,14400,continuation,439.3126000000064,62,1.5242929589616359,0.532258064516129,1.3287292602703862,-323.9129999999943,318.7357999999989,120.5768000000075,-55.618799999994145,-107.02219999999417,601.9535999999949,1,False,True,0,False,False,False,True,fallback_no_base_gate_survivors,2.001654328734318,2.37600717035153,2.5337047555613,0.0,-0.476968323166551,1.50300855606739,False,True,3.0,train_subfold_consistency,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a60_b0.3_c3600_d14400_continuation,a=60s | b=0.3x sigma | c=3600s | d=14400s | continuation,60,0.3,3600,14400,continuation,299.81399999999906,62,1.0991622591227137,0.5806451612903226,1.219326390711646,-505.9584000000026,318.7357999999989,-18.92179999999985,116.3856000000001,119.47940000000159,63.9489999999974,3,True,False,0,False,False,False,True,fallback_no_base_gate_survivors,1.696056897124753,1.6432011339938266,1.9904886356275455,0.0,0.40866064649660233,1.2794897449545048,False,True,4.0,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a120_b0.5_c1800_d14400_continuation,a=120s | b=0.5x sigma | c=1800s | d=14400s | continuation,120,0.5,1800,14400,continuation,328.30560000000514,62,1.1852740684501315,0.5645161290322581,1.242128059146979,-347.4189999999961,319.2361999999999,9.06940000000526,-69.6155999999942,-127.0266000000016,524.9478000000009,1,False,True,0,False,False,False,True,fallback_no_base_gate_survivors,1.7579567970183199,1.7902428987491605,2.103705353849065,0.0,-0.3626144611030068,1.2361113977046947,False,True,5.0,train_subfold_consistency,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a120_b0.3_c3600_d14400_continuation,a=120s | b=0.3x sigma | c=3600s | d=14400s | continuation,120,0.3,3600,14400,continuation,238.29980000001237,62,0.8699950576179791,0.5806451612903226,1.170708196765477,-536.9631999999979,319.2361999999999,-80.93639999998751,108.38420000000735,86.97580000000272,42.9398000000023,3,True,False,0,False,False,False,True,fallback_no_base_gate_survivors,1.5313242438124104,1.3174295977755632,1.7490855830371872,0.0,0.5594952684019441,1.1350418003034837,False,True,6.0,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a300_b0.5_c1800_d14400_continuation,a=300s | b=0.5x sigma | c=1800s | d=14400s | continuation,300,0.5,1800,14400,continuation,289.33579999999364,62,1.03500262926182,0.532258064516129,1.2129220401427177,-348.92620000000323,339.7409999999983,-50.40520000000464,-83.62120000000279,-138.52560000000392,511.48260000000045,1,False,False,0,False,False,False,True,fallback_no_base_gate_survivors,1.649936920124883,1.4778143446994076,1.9586892277986594,0.0,-0.3552821144296905,1.1049457292176623,False,True,7.0,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a60_b0.3_c900_d14400_continuation,a=60s | b=0.3x sigma | c=900s | d=14400s | continuation,60,0.3,900,14400,continuation,282.30759999999793,62,1.0359754498403653,0.532258064516129,1.20296007466544,-319.20239999999745,318.7357999999989,-36.42820000000097,-28.619999999998797,-27.51720000000114,338.4447999999978,1,False,False,0,False,False,False,True,fallback_no_base_gate_survivors,1.6506362144132822,1.5512375186249796,1.9092252580206526,0.0,-0.49988482544835705,1.094401308866074,False,True,8.0,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a60_b0.5_c1800_d1800_continuation,a=60s | b=0.5x sigma | c=1800s | d=1800s | continuation,60,0.5,1800,1800,continuation,95.3126000000046,62,1.2191626208505515,0.5161290322580645,1.2572620357344677,-58.912999999989566,83.90079999999807,11.411800000006522,-30.61879999999558,-28.522199999993123,154.45359999999332,1,False,True,0,False,False,False,True,fallback_no_base_gate_survivors,1.7823169633823543,1.8025478599427862,2.1788498182875404,0.0,-1.7661614418101927,1.0472353104720051,False,True,9.0,train_subfold_consistency,
