params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,removed_top_win_cents,deflated_total_pnl_cents,deflated_daily_sharpe,deflated_max_drawdown_cents,deflated_trades,deflated_win_rate,deflated_profit_factor,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,anti_overfit_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=90s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,90,0.7,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,140.2667999999997,5.195066666666656,5.169530584566746,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,46.7555999999999,inf,2,1,0.1111111111111111,1,1,1.0,140.2667999999997,1.0,62.42040000000057,0.4450119343993069,77.84639999999914,62.42040000000057,77.84639999999912,4.109681261036432,0.0,2,1.0,inf,80,77,0.9625,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.65x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,90,0.65,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,137.27000000000027,5.084074074074084,5.226903149396976,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,45.75666666666675,inf,2,1,0.1111111111111111,1,1,1.0,137.27000000000027,1.0,62.42040000000057,0.4547271800102021,74.8495999999997,62.42040000000057,74.84959999999971,4.246047514334797,0.0,2,1.0,inf,80,74,0.925,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,120,0.7,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,147.26240000000044,5.454162962962979,4.971956752695892,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,49.08746666666681,inf,2,1,0.1111111111111111,1,1,1.0,147.2624000000004,0.9999999999999998,69.4216000000013,0.4714142917676277,77.84079999999913,69.4216000000013,77.84079999999912,3.8658471281706643,0.0,2,1.0,inf,80,72,0.9,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.65x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,120,0.65,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,142.26840000000215,5.26920000000008,5.056825353196574,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,47.42280000000071,inf,2,1,0.1111111111111111,1,1,1.0,142.26840000000215,1.0,69.4216000000013,0.48796218977650874,72.84680000000084,69.4216000000013,72.84680000000083,4.092528233418748,0.0,2,1.0,inf,80,71,0.8875,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.65x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,180,0.65,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,144.2571999999996,5.342859259259245,4.8728686716054135,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,48.0857333333332,inf,2,1,0.1111111111111111,1,1,1.0,144.2571999999996,1.0,67.42120000000028,0.4673680065882359,76.83599999999933,67.42120000000028,76.83599999999932,3.696468465804205,0.0,2,1.0,inf,80,71,0.8875,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,180,0.7,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,141.25759999999948,5.231762962962944,4.880468683363579,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,47.0858666666665,inf,2,1,0.1111111111111111,1,1,1.0,141.25759999999948,1.0,66.42079999999977,0.47021045239335807,74.83679999999971,66.42079999999977,74.83679999999971,3.714059737934834,0.0,2,1.0,inf,80,69,0.8625,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.6x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,180,0.6,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,131.26360000000005,4.861614814814817,4.883840696692664,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,43.75453333333335,inf,2,1,0.1111111111111111,1,1,1.0,131.26360000000005,1.0,65.42120000000068,0.4983955948183705,65.84239999999937,65.42120000000068,65.84239999999937,3.8057482395795623,0.0,2,1.0,inf,80,67,0.8375,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.6x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,90,0.6,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,141.2720000000002,5.232296296296304,5.122044028059905,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,47.09066666666673,inf,2,1,0.1111111111111111,1,1,1.0,141.2720000000002,1.0,68.42279999999937,0.48433376748399737,72.84920000000082,68.42279999999937,72.84920000000082,4.204589900699002,0.0,2,1.0,inf,80,62,0.775,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.6x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,120,0.6,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,143.26959999999838,5.306281481481421,5.185277222679476,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,47.75653333333279,inf,2,1,0.1111111111111111,1,1,1.0,143.26959999999838,1.0,65.42199999999926,0.4566356016907983,77.84759999999912,65.42199999999926,77.84759999999912,4.180160185567729,0.0,2,1.0,inf,80,62,0.775,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.55x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,180,0.55,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,140.7208000000005,5.2118814814815,5.005971710105866,0.0,-7.564399999999715,0.1111111111111111,0.14814814814814814,27,4,0.75,35.18020000000013,19.603035270475676,3,1,0.14814814814814814,1,1,1.0,140.7208000000005,1.0,64.42080000000017,0.45779159868334984,76.30000000000034,64.42080000000017,76.30000000000034,3.8832219411666817,-7.564399999999716,3,0.6666666666666666,11.08672201364181,80,62,0.775,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.75x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,90,0.75,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,79.83799999999943,2.9569629629629417,3.8456485585159736,0.0,0.0,0.07407407407407407,0.07407407407407407,27,2,1.0,39.91899999999971,inf,1,1,0.07407407407407407,1,1,1.0,79.83799999999943,1.0,61.39840000000006,0.7690373005335868,18.439599999999366,61.39840000000006,18.439599999999373,3.0550504633030324,0.0,1,1.0,inf,80,59,0.7375,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.5x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,180,0.5,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,70.25120000000011,2.6018962962963004,3.869451310698163,0.0,-7.563999999999716,0.07407407407407407,0.1111111111111111,27,3,0.6666666666666666,23.417066666666702,10.287572712849348,2,1,0.1111111111111111,1,1,1.0,70.25120000000011,1.0,44.40519999999989,0.632091693807363,25.846000000000224,44.40519999999989,25.846000000000224,2.2861938103608472,-7.563999999999716,2,0.5,4.416975145425274,80,59,0.7375,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.5x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,90,0.5,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,46.8323999999996,1.7345333333333186,2.292481873852446,0.0,-13.566399999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,23.4161999999998,4.45208751031927,1,1,0.07407407407407407,1,1,1.0,46.8323999999996,1.0,60.39879999999955,1.2896797943304221,-13.566399999999945,60.39879999999955,-13.566399999999943,-3.0550504633027233,-13.566399999999943,1,0.0,0.0,80,59,0.7375,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
