rebalance,objective,train_start,train_end,test_start,test_end,selected_params,train_total_pnl_cents,train_sharpe,train_trades,test_total_pnl_cents,test_sharpe,test_trades,test_win_rate,test_max_drawdown_cents,run_key,vol_method
monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,445.0472000000037,2.960173613609575,23,11.252399999999056,0.0877177256850791,20,0.55,-254.79400000000004,dollar_monthly_sharpe_objective,dollar
monthly,daily_sharpe,2025-11-01,2026-01-31,2026-02-01,2026-02-28,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,336.5588000000008,1.3379489935156,39,22.06999999999958,0.1852554887683538,20,0.45,-298.90919999999824,dollar_monthly_sharpe_objective,dollar
monthly,daily_sharpe,2025-12-01,2026-02-28,2026-03-01,2026-03-26,a=120s | move=0.55x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,305.9108000000001,1.2090620372154843,37,1239.8716000000013,1.759440819644564,19,0.6842105263157895,-2213.911199999999,dollar_monthly_sharpe_objective,dollar
monthly,total_pnl_cents,2025-10-01,2025-12-31,2026-01-01,2026-01-31,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,445.0472000000037,2.960173613609575,23,11.252399999999056,0.0877177256850791,20,0.55,-254.79400000000004,dollar_monthly_pnl_objective,dollar
monthly,total_pnl_cents,2025-11-01,2026-01-31,2026-02-01,2026-02-28,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,336.5588000000008,1.3379489935156,39,22.06999999999958,0.1852554887683538,20,0.45,-298.90919999999824,dollar_monthly_pnl_objective,dollar
monthly,total_pnl_cents,2025-12-01,2026-02-28,2026-03-01,2026-03-26,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,342.056399999999,1.0645093950340474,56,-2285.110400000001,-3.415297717572165,19,0.4210526315789473,-2488.813199999999,dollar_monthly_pnl_objective,dollar
monthly,daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,432.1568000000017,2.8296816760838595,25,-43.73919999999998,-0.34990542235183,20,0.5,-319.71039999999937,percent_to_dollar_monthly_sharpe_objective,percent_to_dollar
monthly,daily_sharpe,2025-11-01,2026-01-31,2026-02-01,2026-02-28,a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,268.6768000000013,1.0797432750384115,41,-124.07280000000416,-1.0370452147553806,19,0.4210526315789473,-315.78040000000124,percent_to_dollar_monthly_sharpe_objective,percent_to_dollar
monthly,daily_sharpe,2025-12-01,2026-02-28,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,333.39279999999826,1.2838432095233208,37,1889.6704000000009,2.712498806834523,18,0.7222222222222222,-2072.0231999999983,percent_to_dollar_monthly_sharpe_objective,percent_to_dollar
monthly,total_pnl_cents,2025-10-01,2025-12-31,2026-01-01,2026-01-31,a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,432.1568000000017,2.8296816760838595,25,-43.73919999999998,-0.34990542235183,20,0.5,-319.71039999999937,percent_to_dollar_monthly_pnl_objective,percent_to_dollar
monthly,total_pnl_cents,2025-11-01,2026-01-31,2026-02-01,2026-02-28,a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,268.6768000000013,1.0797432750384115,41,-124.07280000000416,-1.0370452147553806,19,0.4210526315789473,-315.78040000000124,percent_to_dollar_monthly_pnl_objective,percent_to_dollar
monthly,total_pnl_cents,2025-12-01,2026-02-28,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,333.39279999999826,1.2838432095233208,37,1889.6704000000009,2.712498806834523,18,0.7222222222222222,-2072.0231999999983,percent_to_dollar_monthly_pnl_objective,percent_to_dollar
