run_key,vol_method,rebalance,objective,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
dollar_monthly_daily_sharpe,dollar,monthly,daily_sharpe,755.3587999999945,10.638856338028091,0.8488846184633378,0.8744433023698334,-1221.700800000001,0.323943661971831,0.676056338028169,71,48,0.4791666666666667,15.736641666666563,1.225920264041435,21,27,0.676056338028169
dollar_monthly_total_pnl_cents,dollar,monthly,total_pnl_cents,695.6383999999923,9.797723943661863,0.534071298512327,0.46963423561630485,-2130.9995999999987,0.39436619718309857,0.7605633802816901,71,54,0.5185185185185185,12.88219259259245,1.1537821602733702,26,28,0.7605633802816901
percent_to_dollar_daily_total_pnl_cents,percent_to_dollar,daily,total_pnl_cents,-949.1700000000014,-13.368591549295795,-0.7756528294515961,-0.9231130726325831,-2084.2339999999995,0.2535211267605634,0.647887323943662,71,46,0.391304347826087,-20.63413043478264,0.7947250898852237,22,24,0.647887323943662
percent_to_dollar_monthly_daily_sharpe,percent_to_dollar,monthly,daily_sharpe,-379.9775999999994,-5.351797183098584,-0.8911805438412272,-1.1187585147377956,-1151.6167999999993,0.23943661971830985,0.5915492957746479,71,42,0.40476190476190477,-9.0470857142857,0.8086119234950572,14,28,0.5915492957746479
dollar_daily_daily_sharpe,dollar,daily,daily_sharpe,-1144.0175999999983,-16.112923943661947,-0.9834558103891989,-1.168037582394973,-1726.2863999999975,0.2676056338028169,0.5915492957746479,71,42,0.4523809523809524,-27.23851428571424,0.7444455971021652,19,23,0.5915492957746479
percent_to_dollar_monthly_total_pnl_cents,percent_to_dollar,monthly,total_pnl_cents,-531.6828000000007,-7.488490140845081,-1.2210021481683078,-1.6228033618138382,-1069.9784000000004,0.29577464788732394,0.676056338028169,71,48,0.4375,-11.07672500000001,0.7632730762120613,19,29,0.676056338028169
percent_to_dollar_weekly_total_pnl_cents,percent_to_dollar,weekly,total_pnl_cents,-1709.7747999999992,-24.081335211267596,-1.4144056067488928,-1.7110580926407153,-2818.1711999999998,0.2112676056338028,0.6338028169014085,71,47,0.3404255319148936,-36.378187234042535,0.654981997777711,20,27,0.6619718309859155
dollar_weekly_daily_sharpe,dollar,weekly,daily_sharpe,-1695.8267999999996,-23.884884507042248,-1.4323564691692061,-1.839510558117793,-3163.8931999999977,0.22535211267605634,0.5915492957746479,71,44,0.4090909090909091,-38.54151818181817,0.6548409672018211,18,26,0.6197183098591549
dollar_weekly_total_pnl_cents,dollar,weekly,total_pnl_cents,-1890.7556000000006,-26.63036056338029,-1.5802431629681468,-2.089036174634218,-3163.8931999999977,0.23943661971830985,0.6619718309859155,71,50,0.38,-37.81511200000001,0.6412561203051982,23,27,0.704225352112676
dollar_daily_total_pnl_cents,dollar,daily,total_pnl_cents,-1964.2124000000013,-27.66496338028171,-1.6522994000162825,-2.148967257074408,-2567.1492000000035,0.23943661971830985,0.676056338028169,71,48,0.3541666666666667,-40.9210916666667,0.6321292900997891,21,27,0.676056338028169
percent_to_dollar_weekly_daily_sharpe,percent_to_dollar,weekly,daily_sharpe,-2100.296400000002,-29.581639436619746,-2.727386970033969,-2.146946626694443,-2577.151600000002,0.19718309859154928,0.6056338028169014,71,45,0.35555555555555557,-46.67325333333338,0.42504568051789854,18,27,0.6338028169014085
percent_to_dollar_daily_daily_sharpe,percent_to_dollar,daily,daily_sharpe,-2645.4131999999945,-37.25934084507035,-3.6600132895017587,-2.5903482570236593,-3149.144399999996,0.22535211267605634,0.5633802816901409,71,40,0.4,-66.13532999999987,0.3001768622599186,19,21,0.5633802816901409
