params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,backtest_start,backtest_end,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,2564.411200000002,21.19348099173555,2.36868447950197,2.2468103753292428,-469.45919999999967,0.1487603305785124,0.2231404958677686,121,27,0.6666666666666666,94.97819259259268,2.8707061994483345,12,15,0.2231404958677686
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,1.0,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,1936.4971999999993,16.004109090909086,1.844984631915075,4.382677948773819,-185.51400000000012,0.05785123966942149,0.10743801652892562,121,13,0.5384615384615384,148.96132307692304,5.3660625791934775,6,7,0.10743801652892562
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,2060.593599999998,17.029699173553702,1.5533140828193808,1.2451223057185512,-1502.0311999999997,0.2396694214876033,0.4380165289256198,121,53,0.5471698113207547,38.879124528301844,1.6398159649327833,23,30,0.4380165289256198
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,2025-11-01,2026-03-26,1233.715200000001,10.19599338842976,0.9947665631140216,1.3832412335634698,-1945.1191999999999,0.4380165289256198,0.8264462809917356,121,100,0.53,12.337152000000005,1.300441502565983,51,49,0.8264462809917356
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.55,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,310.1179999999972,2.5629586776859274,0.9353546326396418,0.9675609966138566,-215.76839999999976,0.2809917355371901,0.5289256198347108,121,64,0.53125,4.845593749999953,1.2657313967114592,31,33,0.5289256198347108
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,1.0,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,279.8235999999974,2.3125917355371683,0.7603874655345952,0.4894462400950675,-280.1748000000006,0.09917355371900827,0.1652892561983471,121,20,0.6,13.991179999999868,1.4317577817853642,8,12,0.1652892561983471
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,556.6512000000023,4.600423140495887,0.49059407262581634,0.4203014562439026,-1984.6419999999996,0.36363636363636365,0.6446280991735537,121,78,0.5641025641025641,7.1365538461538724,1.1509691130309132,37,41,0.6446280991735537
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,43.07040000000136,0.35595371900827566,0.15498969882119257,0.22901231995918286,-445.26239999999893,0.34710743801652894,0.743801652892562,121,90,0.4666666666666667,0.4785600000000157,1.0329365385250688,45,45,0.743801652892562
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,2025-11-01,2026-03-26,58.94719999999779,0.48716694214874207,0.12533158121072058,0.10527875396975271,-741.1096000000027,0.14049586776859505,0.2892561983471074,121,35,0.4857142857142857,1.6842057142856512,1.0482785484330115,14,21,0.2892561983471074
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,2025-11-01,2026-03-26,-285.05279999999766,-2.3558082644627905,-0.6061650743733843,-0.35618654519979503,-523.1020000000005,0.1322314049586777,0.2892561983471074,121,35,0.45714285714285713,-8.144365714285648,0.7956283758089477,21,14,0.2892561983471074
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,2025-11-01,2026-03-26,-1007.3488000000024,-8.325196694214895,-0.8869653426097867,-0.9311033980516881,-2293.9840000000004,0.2809917355371901,0.6446280991735537,121,78,0.4358974358974359,-12.914728205128233,0.776053281130687,41,37,0.6446280991735537
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,2025-11-01,2026-03-26,-260.91600000000795,-2.1563305785124625,-0.9680548930358404,-0.940187304630165,-523.7492000000007,0.4214876033057851,0.8429752066115702,121,102,0.5,-2.5580000000000784,0.8051687378695235,52,50,0.8429752066115702
