delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,label
120,0.25,1800,3600,63,dollar,continuation,exit_by_midnight,a=120s | move=0.25x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight
120,0.25,1800,3600,63,dollar,reversal,exit_by_midnight,a=120s | move=0.25x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight
120,0.25,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight
120,0.25,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight
120,0.25,1800,21600,63,dollar,continuation,exit_by_midnight,a=120s | move=0.25x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight
120,0.25,1800,21600,63,dollar,reversal,exit_by_midnight,a=120s | move=0.25x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight
120,0.25,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight
120,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight
120,0.4,1800,3600,63,dollar,continuation,exit_by_midnight,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight
120,0.4,1800,3600,63,dollar,reversal,exit_by_midnight,a=120s | move=0.4x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight
120,0.4,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight
