signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,rarity_percentile,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,params,run_key,run_label,objective,test_start,test_end,selected_params
2025-12-01 15:13:39,2025-12-01 19:13:39,2025-12-01 15:15:39,2025-12-01 19:15:39,2025-12-01 19:59:59,2025-12-01 23:59:59,-1,-24.0000000000002,24.0000000000002,95.0,62.95,63.29,-33.99999999999963,2.5180000000000002,-36.51799999999963,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-02 12:49:24,2025-12-02 16:49:24,2025-12-02 12:51:24,2025-12-02 16:51:24,2025-12-02 19:59:59,2025-12-02 23:59:59,-1,-24.0000000000002,24.0000000000002,95.0,62.41,62.45,-4.000000000000625,2.4964,-6.496400000000625,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-03 13:20:27,2025-12-03 17:20:27,2025-12-03 13:22:27,2025-12-03 17:22:27,2025-12-03 19:59:59,2025-12-03 23:59:59,1,24.0000000000002,24.0000000000002,95.0,62.38,62.58,19.999999999999574,2.4952,17.504799999999573,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-04 12:55:22,2025-12-04 16:55:22,2025-12-04 12:57:22,2025-12-04 16:57:22,2025-12-04 19:59:59,2025-12-04 23:59:59,1,24.0000000000002,24.0000000000002,95.0,62.4,62.48,7.9999999999998295,2.496,5.503999999999829,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-05 12:29:59,2025-12-05 16:29:59,2025-12-05 12:31:59,2025-12-05 16:31:59,2025-12-05 19:59:59,2025-12-05 23:59:59,-1,-24.0000000000002,23.99999999999949,95.0,62.55,63.25,-70.00000000000028,2.502,-72.50200000000028,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-08 12:40:24,2025-12-08 16:40:24,2025-12-08 12:42:24,2025-12-08 16:42:24,2025-12-08 19:59:59,2025-12-08 23:59:59,-1,-24.0000000000002,23.99999999999949,95.0,63.06,62.33,73.0000000000004,2.5224,70.4776000000004,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-09 14:10:06,2025-12-09 18:10:06,2025-12-09 14:12:06,2025-12-09 18:12:06,2025-12-09 19:59:59,2025-12-09 23:59:59,1,24.0000000000002,23.99999999999949,95.0,62.1,61.48,-62.000000000000455,2.484,-64.48400000000045,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-10 13:16:00,2025-12-10 17:16:00,2025-12-10 13:18:00,2025-12-10 17:18:00,2025-12-10 19:59:59,2025-12-10 23:59:59,1,23.99999999999949,23.000000000000398,95.0,61.66,60.97,-68.99999999999977,2.4663999999999997,-71.46639999999977,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-11 18:03:54,2025-12-11 22:03:54,2025-12-11 18:05:54,2025-12-11 22:05:54,2025-12-11 19:59:59,2025-12-11 23:59:59,-1,-24.0000000000002,23.000000000000398,95.0,60.71,60.7,0.999999999999801,2.4284,-1.4284000000001988,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-12 13:25:42,2025-12-12 17:25:42,2025-12-12 13:27:42,2025-12-12 17:27:42,2025-12-12 19:59:59,2025-12-12 23:59:59,-1,-25.0,23.000000000000398,95.0,61.09,60.43,66.00000000000037,2.4436,63.556400000000366,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-15 15:42:28,2025-12-15 19:42:28,2025-12-15 15:44:28,2025-12-15 19:44:28,2025-12-15 19:59:59,2025-12-15 23:59:59,-1,-23.000000000000398,23.000000000000398,95.0,60.4,60.09,30.999999999999517,2.416,28.583999999999516,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-16 12:15:52,2025-12-16 16:15:52,2025-12-16 12:17:52,2025-12-16 16:17:52,2025-12-16 19:59:59,2025-12-16 23:59:59,-1,-22.999999999999687,22.999999999999687,95.0,59.62,58.65,96.99999999999989,2.3848,94.61519999999989,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-17 12:59:51,2025-12-17 16:59:51,2025-12-17 13:01:51,2025-12-17 17:01:51,2025-12-17 19:59:59,2025-12-17 23:59:59,1,27.000000000000313,22.999999999999687,95.0,59.81,59.28,-53.000000000000114,2.3924000000000003,-55.392400000000116,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-18 18:23:42,2025-12-18 22:23:42,2025-12-18 18:25:42,2025-12-18 22:25:42,2025-12-18 19:59:59,2025-12-18 23:59:59,1,22.999999999999687,22.999999999999687,95.0,59.7,59.58,-12.000000000000455,2.3880000000000003,-14.388000000000455,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
2025-12-19 11:58:56,2025-12-19 15:58:56,2025-12-19 12:00:56,2025-12-19 16:00:56,2025-12-19 19:59:59,2025-12-19 23:59:59,-1,-23.99999999999949,22.999999999998977,95.0,59.14,59.49,-35.00000000000014,2.3656,-37.36560000000014,exit_by_midnight,continuation,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-12-01,2025-12-31,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
