params,delay_s,rarity_percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,rare_stability_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight,120,97.5,1800,7200,reversal,exit_by_midnight,any,any,any,4.529168520130801,146.69479999999714,5.433140740740635,3.847409320130805,5.207976938061693,-70.81999999999995,0.48148148148148145,0.7777777777777778,27,21,0.6190476190476191,6.985466666666531,1.9636848093714854,15,6,0.7777777777777778,1,1,1.0,146.69479999999714,1.0,45.40519999999898,0.30952153723240267,101.28959999999816,80,46,0.575,23.791668520130802,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,120,97.5,1800,14400,reversal,exit_by_midnight,any,any,any,1.980199689769661,126.69479999999973,4.69239999999999,1.745331732053329,1.8727872456550776,-128.38559999999978,0.5185185185185185,0.7777777777777778,27,21,0.6666666666666666,6.0330857142857,1.4024367001758415,15,6,0.7777777777777778,1,1,1.0,126.6947999999997,0.9999999999999998,103.44520000000094,0.8164912845673316,23.249599999998793,80,51,0.6375,23.336449689769665,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,120,99.0,1800,14400,reversal,exit_by_midnight,any,any,any,3.3375341868376296,149.60120000000086,5.540785185185217,2.738664467380831,1.9323210056406528,-112.53720000000014,0.37037037037037035,0.5185185185185185,27,14,0.7142857142857143,10.68580000000006,1.8298876997872071,11,3,0.5185185185185185,1,1,1.0,149.60120000000086,1.0,58.551599999999944,0.3913845610864058,91.04960000000091,53,45,0.8490566037735849,22.611119092498008,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight,120,99.0,3600,14400,reversal,exit_by_midnight,any,any,any,6.929152730132933,285.07120000000026,10.558192592592603,6.020378730132931,0.0,-80.52440000000011,0.37037037037037035,0.4074074074074074,27,11,0.9090909090909091,25.91556363636366,4.540184093268566,8,3,0.4074074074074074,1,1,1.0,285.07120000000026,1.0,65.42199999999926,0.22949354406898767,219.649200000001,35,33,0.9428571428571428,21.543438444418648,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight,120,97.5,3600,14400,reversal,exit_by_midnight,any,any,any,3.803896105021312,204.19000000000045,7.562592592592609,3.18819515751164,3.1004283562581914,-119.54000000000018,0.4444444444444444,0.7407407407407407,27,20,0.6,10.209500000000023,1.8789094446500978,12,8,0.7407407407407407,1,1,1.0,204.19000000000042,0.9999999999999999,89.49560000000017,0.4382957049806551,114.69440000000029,53,39,0.7358490566037735,20.507669689926974,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight,120,97.5,3600,7200,reversal,exit_by_midnight,any,any,any,2.998420309948404,125.1899999999998,4.63666666666666,2.516542538017736,4.362772872543383,-154.87159999999875,0.5185185185185185,0.7407407407407407,27,20,0.7,6.259499999999991,1.5609695331571962,12,8,0.7407407407407407,1,1,1.0,125.1899999999998,1.0,56.495599999999634,0.45127885613866703,68.69440000000017,53,40,0.7547169811320755,20.130495781646516,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight,120,97.5,900,14400,reversal,exit_by_midnight,any,any,any,2.2870036461677192,141.06200000000126,5.224518518518566,1.899618042696901,2.5188683071837983,-123.52640000000038,0.4444444444444444,0.8148148148148148,27,22,0.5454545454545454,6.411909090909148,1.388282651228801,13,9,0.8148148148148148,1,1,1.0,141.06200000000126,1.0,89.49560000000017,0.634441593058367,51.566400000001096,80,42,0.525,19.87450364616772,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight,120,99.0,1800,21600,reversal,exit_by_midnight,any,any,any,4.9513556646983234,259.63839999999846,9.61623703703698,4.169537664698327,2.95909844365903,-112.53720000000014,0.37037037037037035,0.4444444444444444,27,12,0.8333333333333334,21.636533333333205,2.7068178471506052,9,3,0.4444444444444444,1,1,1.0,259.63839999999846,1.0,87.46079999999986,0.3368561815201464,172.1775999999986,35,31,0.8857142857142857,18.679927093269754,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight,120,99.0,3600,7200,reversal,exit_by_midnight,any,any,any,5.766317525281436,162.0712000000027,6.002637037037137,5.048665968928418,5.5832693559627895,-38.59319999999994,0.2962962962962963,0.4074074074074074,27,11,0.7272727272727273,14.7337454545457,3.8161415653648403,8,3,0.4074074074074074,1,1,1.0,162.0712000000027,1.0,57.599600000000144,0.3553968872939744,104.47160000000255,35,29,0.8285714285714286,18.609174668138582,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight,300,97.5,1800,7200,reversal,exit_by_midnight,any,any,any,5.050795928157761,157.71039999999564,5.841125925925764,4.336256728157768,9.321572481413732,-44.15600000000077,0.5185185185185185,0.7777777777777778,27,21,0.6666666666666666,7.51001904761884,2.1547344651961895,15,6,0.7777777777777778,1,1,1.0,157.71039999999567,1.0000000000000002,53.362799999998806,0.33835942334811325,104.34759999999685,53,30,0.5660377358490566,17.899852531931344,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight,60,97.5,1800,7200,reversal,exit_by_midnight,any,any,any,5.207557659789707,162.68680000000037,6.025437037037051,4.481812059789708,7.310385825749857,-62.81840000000011,0.4444444444444444,0.7777777777777778,27,21,0.5714285714285714,7.746990476190494,2.1563625714699826,15,6,0.7777777777777778,1,1,1.0,162.68680000000037,1.0,43.4048000000008,0.2667997649471297,119.28199999999958,53,29,0.5471698113207547,17.62831237677084,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
