params,delay_s,rarity_percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,rare_stability_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,97.5,1800,7200,reversal,exit_by_midnight,any,any,late,8.389444418948552,209.87719999999584,7.773229629629475,7.535083618948558,14.386346100737816,-24.583199999999888,0.48148148148148145,0.6296296296296297,27,17,0.7647058823529411,12.345717647058578,5.458338998028438,11,6,0.6296296296296297,1,1,1.0,209.87719999999584,1.0,45.40519999999898,0.21634174650700447,164.47199999999685,11,7,0.6363636363636364,12.143989873494007,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,97.5,1800,3600,continuation,exit_by_midnight,up,any,mid,5.684219393805222,123.45760000000146,4.572503703703758,5.0702880880575,0.0,-10.543599999999827,0.18518518518518517,0.2222222222222222,27,6,0.8333333333333334,20.57626666666691,12.709245419021089,2,4,0.2222222222222222,1,1,1.0,123.45760000000148,1.0000000000000002,57.42840000000085,0.4651669885045568,66.02920000000061,11,6,0.5454545454545454,8.90240121198704,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,1800,3600,reversal,exit_by_midnight,any,any,late,5.031447825042391,148.69799999999992,5.507333333333331,4.320557322418279,6.465101376903877,-29.434799999999598,0.25925925925925924,0.4444444444444444,27,12,0.5833333333333334,12.391499999999992,2.889553058143601,9,3,0.4444444444444444,1,1,1.0,148.69799999999992,1.0,52.600399999999716,0.353739794751777,96.0976000000002,7,6,0.8571428571428571,8.717162110756677,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,1800,7200,reversal,exit_by_midnight,any,any,late,4.78032577939588,146.6979999999982,5.433259259259192,4.126807563169351,5.547510838986645,-42.53719999999986,0.2962962962962963,0.4444444444444444,27,12,0.6666666666666666,12.22483333333318,2.703769947271806,9,3,0.4444444444444444,1,1,1.0,146.6979999999982,1.0,59.600399999999745,0.40627956754693645,87.09759999999844,7,6,0.8571428571428571,8.466040065110166,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,97.5,1800,3600,reversal,exit_by_midnight,any,any,late,4.0836074703215335,113.87720000000144,4.217674074074127,3.4374794703215295,5.499293928652811,-52.52959999999885,0.37037037037037035,0.6296296296296297,27,17,0.5882352941176471,6.698658823529496,1.9593795387990474,11,6,0.6296296296296297,1,1,1.0,113.87720000000147,1.0000000000000002,39.54840000000017,0.34728988770359365,74.32880000000127,11,7,0.6363636363636364,7.838152924866989,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,97.5,900,3600,continuation,exit_by_midnight,up,any,mid,4.566731388258289,109.45640000000142,4.053940740740793,4.0279769238059515,0.0,-34.537600000000026,0.18518518518518517,0.2222222222222222,27,6,0.8333333333333334,18.24273333333357,4.169195311776069,2,4,0.2222222222222222,1,1,1.0,109.45640000000142,1.0,56.42799999999963,0.5155294710953301,53.028400000001795,11,6,0.5454545454545454,7.784913206440108,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=late | exit_by_midnight,120,97.5,1800,7200,reversal,exit_by_midnight,down,any,late,5.318406924381274,82.5931999999983,3.0590074074073446,4.731375506982272,51.680735677205874,-8.461200000000225,0.2222222222222222,0.3333333333333333,27,9,0.6666666666666666,9.177022222222032,4.672114529610153,4,5,0.3333333333333333,1,1,1.0,82.5931999999983,1.0,36.59080000000006,0.4430243652019877,46.00239999999825,11,4,0.36363636363636365,7.46386146983582,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=late | exit_by_midnight,120,99.0,1800,7200,reversal,exit_by_midnight,down,any,late,5.41720581211185,105.16599999999957,3.8950370370370213,4.889872856571086,0.0,-5.434799999999399,0.18518518518518517,0.2222222222222222,27,6,0.8333333333333334,17.527666666666597,20.350482078455652,4,2,0.2222222222222222,1,1,1.0,105.16599999999957,1.0,59.600399999999745,0.5667268889184717,45.565599999999826,7,3,0.42857142857142855,7.260062954968992,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,900,7200,reversal,exit_by_midnight,any,any,late,3.5476341272149097,120.89840000000176,4.477718518518584,2.9784782874711158,3.069914563373261,-57.661599999998856,0.37037037037037035,0.5555555555555556,27,15,0.6666666666666666,8.059893333333452,1.86553093759218,13,2,0.5555555555555556,1,1,1.0,120.89840000000176,1.0,55.409999999999826,0.4583187205124222,65.48840000000193,7,6,0.8571428571428571,7.233348412929195,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=any | exit_by_midnight,120,99.0,1800,7200,reversal,exit_by_midnight,down,any,any,4.598372574938038,90.18759999999972,3.340281481481471,4.154539156587843,71.63654305922636,-11.916399999999314,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,15.03126666666662,8.568359571682414,4,2,0.2222222222222222,1,1,1.0,90.18759999999972,1.0,59.600399999999745,0.6608491632996103,30.587199999999974,7,3,0.42857142857142855,6.441229717795181,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=3600s | reversal | trend=up | vol=any | time=late | exit_by_midnight,120,99.0,900,3600,reversal,exit_by_midnight,up,any,late,3.8987653336762422,55.03559999999855,2.0383555555555017,3.4641427308548054,0.0,-18.60040000000108,0.14814814814814814,0.18518518518518517,27,5,0.8,11.007119999999711,3.95883959484696,5,0,0.18518518518518517,1,1,1.0,55.03559999999855,1.0,34.44719999999975,0.6259075943571188,20.588399999998806,7,3,0.42857142857142855,5.741622476533385,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
