params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,3.044933276816744,126.16720000000076,4.672859259259288,2.7183442913079885,0.0,-75.5716000000004,0.14814814814814814,0.18518518518518517,27,5,0.8,25.23344000000015,2.6695054756019116,4,1,0.18518518518518517,1,1,1.0,126.16720000000076,1.0,96.4572000000002,0.76451882898249,29.710000000000562,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,1.8697452011249633,75.15400000000096,2.783481481481517,1.736873307243061,0.0,-89.57720000000046,0.14814814814814814,0.18518518518518517,27,5,0.8,15.030800000000193,1.8389858133542771,5,0,0.18518518518518517,1,1,1.0,75.15400000000096,1.0,75.44880000000012,1.003922612236197,-0.2947999999991566,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,1.8697452011249633,75.15400000000096,2.783481481481517,1.736873307243061,0.0,-89.57720000000046,0.14814814814814814,0.18518518518518517,27,5,0.8,15.030800000000193,1.8389858133542771,5,0,0.18518518518518517,1,1,1.0,75.15400000000096,1.0,75.44880000000012,1.003922612236197,-0.2947999999991566,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,119.74080000000042,4.43484444444446,2.5787365725136846,0.0,-75.5716000000004,0.1111111111111111,0.14814814814814814,27,4,0.75,29.935200000000105,2.5844682393914806,4,0,0.14814814814814814,1,1,1.0,119.74080000000042,1.0,96.4572000000002,0.8055499879740228,23.28360000000022,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,14.841599999999573,0.5496888888888731,0.6231773939687498,0.0,-42.55839999999986,0.037037037037037035,0.07407407407407407,27,2,0.5,7.420799999999787,1.3487349148463823,1,1,0.07407407407407407,1,1,1.0,14.841599999999573,1.0,57.39999999999943,3.867507546356261,-42.55839999999986,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,14.841599999999573,0.5496888888888731,0.6231773939687498,0.0,-42.55839999999986,0.037037037037037035,0.07407407407407407,27,2,0.5,7.420799999999787,1.3487349148463823,1,1,0.07407407407407407,1,1,1.0,14.841599999999573,1.0,57.39999999999943,3.867507546356261,-42.55839999999986,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.55,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,3.837200000000337,0.142118518518531,0.14644422797215131,0.0,-53.59639999999909,0.037037037037037035,0.07407407407407407,27,2,0.5,1.9186000000001684,1.071594360815266,1,1,0.07407407407407407,1,1,1.0,3.837200000000337,1.0,57.43359999999943,14.967580527466483,-53.59639999999909,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,3.837200000000337,0.142118518518531,0.14644422797215131,0.0,-53.59639999999909,0.037037037037037035,0.07407407407407407,27,2,0.5,1.9186000000001684,1.071594360815266,1,1,0.07407407407407407,1,1,1.0,3.837200000000337,1.0,57.43359999999943,14.967580527466483,-53.59639999999909,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,1.0,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,1.0,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,1.0,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,1.0,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
