params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,stable_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,120,0.4,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,4.586963959629647,151.16719999999935,5.598785185185161,4.127248594580092,0.0,-18.57160000000108,0.14814814814814814,0.18518518518518517,27,5,0.8,30.23343999999987,9.139697172025103,4,1,0.18518518518518517,1,1,1.0,151.16719999999935,1.0,103.44560000000023,0.6843124699008823,47.72159999999913,80,38,0.475,20.499463959629647,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,300,0.4,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,4.751395205026235,138.16600000000125,5.117259259259305,4.271810556032993,0.0,-13.566399999999945,0.14814814814814814,0.18518518518518517,27,5,0.8,27.63320000000025,11.184426229507507,4,1,0.18518518518518517,1,1,1.0,138.16600000000125,1.0,90.44240000000069,0.654592302013519,47.72360000000056,53,27,0.5094339622641509,16.315546148422463,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,60,0.4,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,4.693337756611389,156.16559999999907,5.783911111111077,4.224273607163883,0.0,-14.570000000000455,0.14814814814814814,0.18518518518518517,27,5,0.8,31.233119999999815,11.718297872339223,4,1,0.18518518518518517,1,1,1.0,156.16559999999907,1.0,106.44479999999963,0.6816149011049826,49.72079999999944,53,22,0.41509433962264153,14.11597926604535,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,2.988328598328634,77.15399999999914,2.857555555555524,2.732085686655882,2.7926641207126357,-34.182800000000626,0.1111111111111111,0.18518518518518517,27,5,0.6,15.430799999999829,3.2571000620193336,5,0,0.18518518518518517,1,1,1.0,77.15399999999914,1.0,69.43919999999989,0.9000077766544917,7.714799999999258,35,19,0.5428571428571428,11.402614312614348,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,300,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,4.600448003182867,114.16520000000031,4.2283407407407525,4.121437857073198,8.651975482001463,-12.17560000000074,0.1111111111111111,0.18518518518518517,27,5,0.6,22.83304000000006,10.376556391470071,5,0,0.18518518518518517,1,1,1.0,114.16520000000031,1.0,72.4408000000007,0.6345261077806592,41.724399999999605,23,14,0.6086956521739131,11.113491481443736,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,3.0921430009332265,63.154000000001226,2.3390370370370825,2.8942770870592005,0.0,-14.551199999999746,0.14814814814814814,0.18518518518518517,27,5,0.8,12.630800000000246,5.340123151355009,0,5,0.18518518518518517,1,1,1.0,63.154000000001226,1.0,64.42280000000088,1.0200905722519495,-1.2687999999996507,35,18,0.5142857142857142,11.063571572361798,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,60,0.25,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,3.9407932974975997,76.15120000000147,2.8204148148148693,3.6087455794419303,0.0,-10.551599999999837,0.14814814814814814,0.18518518518518517,27,5,0.8,15.230240000000293,8.217028697069116,0,5,0.18518518518518517,1,1,1.0,76.15120000000148,1.0000000000000002,62.42239999999986,0.819716563888667,13.728800000001605,23,14,0.6086956521739131,10.45383677575847,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=7200s | continuation | exit_by_midnight,120,0.25,1800,7200,63,percent_to_dollar,continuation,exit_by_midnight,2.762257603339503,69.15400000000004,2.561259259259261,2.4828692544833335,35.126885995115835,-44.663200000000444,0.07407407407407407,0.18518518518518517,27,5,0.4,13.830800000000007,2.548344050582958,0,5,0.18518518518518517,1,1,1.0,69.15400000000002,0.9999999999999998,58.422800000000656,0.8448217022876569,10.731199999999383,53,17,0.32075471698113206,10.043389678811202,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/900s | hold=3600s | continuation | exit_by_midnight,120,0.25,900,3600,63,percent_to_dollar,continuation,exit_by_midnight,4.169808431573761,86.14520000000091,3.190562962962997,3.786827078529832,0.0,-11.543599999999628,0.14814814814814814,0.18518518518518517,27,5,0.8,17.229040000000182,8.46259399147538,1,4,0.18518518518518517,1,1,1.0,86.14520000000091,1.0,64.42280000000088,0.7478396939121413,21.722400000000036,23,12,0.5217391304347826,9.752417127225936,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move=0.4x percent_to_dollar sigma (63D)/3600s | hold=14400s | reversal | exit_by_midnight,300,0.4,3600,14400,63,percent_to_dollar,reversal,exit_by_midnight,1.6109517074617805,19.137199999999318,0.7087851851851599,1.6431353802665982,1.5851950530683745,-23.16599999999926,0.1111111111111111,0.18518518518518517,27,5,0.6,3.8274399999998634,1.8260899594232112,3,2,0.18518518518518517,1,1,1.0,19.137199999999318,1.0,27.457199999999716,1.4347553456096345,-8.320000000000398,35,18,0.5142857142857142,9.582380278890351,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=7200s | continuation | exit_by_midnight,60,0.25,1800,7200,63,percent_to_dollar,continuation,exit_by_midnight,3.018897656998322,77.15120000000056,2.8574518518518723,2.6852087939491343,39.47690445411724,-41.66519999999964,0.07407407407407407,0.18518518518518517,27,5,0.4,15.430240000000111,2.8516939796280445,0,5,0.18518518518518517,1,1,1.0,77.15120000000057,1.0000000000000002,59.42239999999975,0.7702070739016285,17.72880000000081,35,14,0.4,9.218897656998323,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,0.9695036673949852,27.167200000000562,1.0061925925926134,1.3240223481217421,5.3413183627067395,-43.67080000000065,0.07407407407407407,0.18518518518518517,27,5,0.4,5.433440000000113,1.6220907333961945,1,4,0.18518518518518517,1,1,1.0,27.167200000000562,1.0,53.428400000000934,1.9666509614535113,-26.261200000000372,53,18,0.33962264150943394,8.678937629659137,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,300,0.25,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,1.8418761817007803,49.165200000000446,1.82093333333335,1.8864620852943839,2.925924872236068,-47.17560000000017,0.1111111111111111,0.18518518518518517,27,5,0.6,9.83304000000009,2.042174344364422,5,0,0.18518518518518517,1,1,1.0,49.16520000000045,1.0000000000000002,67.44080000000099,1.3717182071872052,-18.275600000000544,35,15,0.42857142857142855,8.484733324557922,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,60,0.4,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,1.7848506845056633,35.16560000000112,1.3024296296296711,1.8126513699755264,7.783810426129034,-37.67279999999971,0.07407407407407407,0.18518518518518517,27,5,0.4,7.033120000000224,1.9334480049266165,1,4,0.18518518518518517,1,1,1.0,35.165600000001106,0.9999999999999996,48.4299999999998,1.3771981709397325,-13.26439999999868,35,15,0.42857142857142855,8.427707827362806,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,60,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,3.248788466055244,79.15119999999875,2.9315259259258797,2.9565564317917072,3.4690059779647053,-30.1836,0.1111111111111111,0.18518518518518517,27,5,0.6,15.830239999999751,3.6223247061316455,5,0,0.18518518518518517,1,1,1.0,79.15119999999874,0.9999999999999998,67.43839999999886,0.8520199314729269,11.712799999999888,23,11,0.4782608695652174,8.36617977040307,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.4x percent_to_dollar sigma (63D)/3600s | hold=3600s | continuation | exit_by_midnight,120,0.4,3600,3600,63,percent_to_dollar,continuation,exit_by_midnight,5.2600718242529805,88.13440000000051,3.264237037037056,4.706282190733267,0.0,-6.545599999999915,0.14814814814814814,0.18518518518518517,27,5,0.8,17.626880000000103,14.464678562696651,2,3,0.18518518518518517,1,1,1.0,88.13440000000051,1.0,44.4320000000006,0.5041391329605732,43.70239999999991,35,7,0.2,8.360071824252982,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.25x percent_to_dollar sigma (63D)/900s | hold=3600s | continuation | exit_by_midnight,60,0.25,900,3600,63,percent_to_dollar,continuation,exit_by_midnight,3.2361841611104825,64.14999999999819,2.3759259259258587,3.0088072454440913,0.0,-14.543599999999742,0.14814814814814814,0.18518518518518517,27,5,0.8,12.829999999999638,5.4108748865476155,1,4,0.18518518518518517,1,1,1.0,64.14999999999819,1.0,62.42239999999986,0.9730693686672116,1.7275999999983256,15,10,0.6666666666666666,8.236184161110483,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move=0.25x percent_to_dollar sigma (63D)/900s | hold=3600s | continuation | exit_by_midnight,300,0.25,900,3600,63,percent_to_dollar,continuation,exit_by_midnight,5.103713137668204,107.14919999999815,3.96848888888882,4.587113359243361,0.0,-6.545199999999909,0.14814814814814814,0.18518518518518517,27,5,0.8,21.42983999999963,17.370653303181285,1,4,0.18518518518518517,1,1,1.0,107.14919999999816,1.0000000000000002,62.42559999999986,0.5826044431503076,44.723599999998285,15,6,0.4,8.103713137668205,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move=0.4x percent_to_dollar sigma (63D)/3600s | hold=3600s | continuation | exit_by_midnight,60,0.4,3600,3600,63,percent_to_dollar,continuation,exit_by_midnight,5.106236687706351,96.12719999999894,3.560266666666627,4.610090185195519,0.0,-7.546400000000425,0.14814814814814814,0.18518518518518517,27,5,0.8,19.225439999999786,13.738153291633065,2,3,0.18518518518518517,1,1,1.0,96.12719999999892,0.9999999999999999,57.42760000000014,0.5974125949783284,38.699599999998796,23,6,0.2608695652173913,7.897541035532439,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
