params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,rebalance,objective,train_start,train_end,test_start,test_end,run_key
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,2.8942770870592005,63.154000000001226,2.3390370370370825,2.8942770870592005,0.0,-14.551199999999746,0.14814814814814814,0.18518518518518517,27,5,0.8,12.630800000000246,5.340123151355009,0,5,0.18518518518518517,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,2.732085686655882,77.15399999999914,2.857555555555524,2.732085686655882,2.7926641207126357,-34.182800000000626,0.1111111111111111,0.18518518518518517,27,5,0.6,15.430799999999829,3.2571000620193336,5,0,0.18518518518518517,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,1.3240223481217421,27.167200000000562,1.0061925925926134,1.3240223481217421,5.3413183627067395,-43.67080000000065,0.07407407407407407,0.18518518518518517,27,5,0.4,5.433440000000113,1.6220907333961945,1,4,0.18518518518518517,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-2.4666596870074704,-52.832800000000574,-1.9567703703703916,-2.4666596870074704,-1.2208982986420134,-81.16200000000123,0.1111111111111111,0.18518518518518517,27,5,0.6,-10.566560000000115,0.34904511963726714,4,1,0.18518518518518517,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-3.4658341973349898,-102.84599999999915,-3.8091111111110796,-3.4658341973349898,-1.7421862954532883,-126.66319999999978,0.07407407407407407,0.18518518518518517,27,5,0.4,-20.56919999999983,0.18803567255525266,0,5,0.18518518518518517,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-3.7978392506229937,-88.84600000000121,-3.2905925925926374,-3.7978392506229937,-1.7391920838977748,-89.73400000000144,0.037037037037037035,0.18518518518518517,27,5,0.2,-17.769200000000243,0.09612716033808051,5,0,0.18518518518518517,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,196.74079999999861,7.286696296296245,5.087282495745545,0.0,-9.571600000000743,0.1111111111111111,0.14814814814814814,27,4,0.75,49.185199999999654,21.554640812399374,4,0,0.14814814814814814,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,77.84159999999912,2.8830222222221895,3.9512476328443333,0.0,0.0,0.07407407407407407,0.07407407407407407,27,2,1.0,38.92079999999956,inf,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,50.8371999999988,1.8828592592592148,3.210801447841807,0.0,0.0,0.07407407407407407,0.07407407407407407,27,2,1.0,25.4185999999994,inf,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.55,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,17.837199999999687,0.6606370370370255,1.1576686258839493,0.0,-22.596400000000283,0.037037037037037035,0.07407407407407407,27,2,0.5,8.918599999999843,1.7893823794939758,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,12.84159999999926,0.47561481481478746,1.0194234897729484,0.0,-19.55840000000017,0.037037037037037035,0.07407407407407407,27,2,0.5,6.42079999999963,1.656577225130762,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,percent_to_dollar_monthly_sharpe_objective
