signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,daily_sigma_dollars,sigma_multiple,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,params,selected_params,backtest_start,backtest_end
2025-11-14 15:55:46,2025-11-14 19:55:46,2025-11-14 15:57:46,2025-11-14 19:57:46,2025-11-14 19:59:59,2025-11-14 23:59:59,1,-76.9999999999996,75.89632029001109,1.0119509372001478,0.75,63.69,64.48,79.00000000000063,2.5476,76.45240000000062,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2025-11-21 16:25:21,2025-11-21 20:25:21,2025-11-21 16:27:21,2025-11-21 20:27:21,2025-11-21 19:59:59,2025-11-21 23:59:59,-1,75.9999999999998,74.95924115579123,0.9994565487438831,0.75,62.9,62.1,79.99999999999972,2.516,77.48399999999971,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2025-11-25 16:43:30,2025-11-25 20:43:30,2025-11-25 16:45:30,2025-11-25 20:45:30,2025-11-25 19:59:59,2025-11-25 23:59:59,1,-72.99999999999969,72.04967731920095,0.9606623642560126,0.75,61.47,61.1,-36.999999999999744,2.4588,-39.45879999999974,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2025-12-02 19:15:25,2025-12-02 23:15:25,2025-12-02 19:17:25,2025-12-02 23:17:25,2025-12-02 19:59:59,2025-12-02 23:59:59,-1,71.99999999999989,71.47407500665601,0.9529876667554135,0.75,62.38,62.45,-7.000000000000028,2.4952,-9.495200000000029,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-06 13:00:30,2026-01-06 17:00:30,2026-01-06 13:02:30,2026-01-06 17:02:30,2026-01-06 19:59:59,2026-01-06 23:59:59,-1,64.99999999999986,62.37263503736019,0.8316351338314693,0.75,61.67,61.2,46.999999999999886,2.4668,44.53319999999989,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-09 13:40:30,2026-01-09 17:40:30,2026-01-09 13:42:30,2026-01-09 17:42:30,2026-01-09 19:59:59,2026-01-09 23:59:59,1,-61.999999999999744,61.875154683796396,0.8250020624506186,0.75,61.35,63.01,165.99999999999966,2.454,163.54599999999965,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-13 18:44:20,2026-01-13 22:44:20,2026-01-13 18:46:20,2026-01-13 22:46:20,2026-01-13 19:59:59,2026-01-13 23:59:59,-1,64.99999999999915,64.24926950114966,0.8566569266819953,0.75,64.87,65.02,-14.999999999999147,2.5948,-17.594799999999147,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-14 14:04:14,2026-01-14 18:04:14,2026-01-14 14:06:14,2026-01-14 18:06:14,2026-01-14 19:59:59,2026-01-14 23:59:59,-1,65.99999999999966,65.64017046590632,0.8752022728787509,0.75,64.67,65.36,-68.99999999999977,2.5868,-71.58679999999977,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-15 14:01:23,2026-01-15 18:01:23,2026-01-15 14:03:23,2026-01-15 18:03:23,2026-01-15 19:59:59,2026-01-15 23:59:59,1,-69.00000000000048,68.14355168423064,0.9085806891230753,0.75,63.02,63.24,21.999999999999886,2.5208000000000004,19.479199999999885,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-20 18:30:03,2026-01-20 22:30:03,2026-01-20 18:32:03,2026-01-20 22:32:03,2026-01-20 19:59:59,2026-01-20 23:59:59,-1,71.99999999999989,71.28672104313917,0.9504896139085223,0.75,64.17,63.9,27.000000000000313,2.5668,24.433200000000312,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-27 17:44:09,2026-01-27 21:44:09,2026-01-27 17:46:09,2026-01-27 21:46:09,2026-01-27 19:59:59,2026-01-27 23:59:59,-1,76.00000000000051,75.77155457674094,1.0102873943565458,0.75,65.11,65.26,-15.000000000000568,2.6044,-17.604400000000567,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-01-29 18:14:56,2026-01-29 22:14:56,2026-01-29 18:16:56,2026-01-29 22:16:56,2026-01-29 19:59:59,2026-01-29 23:59:59,-1,76.00000000000051,75.57617416332772,1.007682322177703,0.75,69.49,68.7,78.9999999999992,2.7796,76.2203999999992,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-02-02 13:05:20,2026-02-02 17:05:20,2026-02-02 13:07:20,2026-02-02 17:07:20,2026-02-02 19:59:59,2026-02-02 23:59:59,1,-82.99999999999983,79.53085107024084,1.0604113476032113,0.75,64.99,65.35,35.99999999999994,2.5995999999999997,33.40039999999994,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-02-06 18:02:31,2026-02-06 22:02:31,2026-02-06 18:04:31,2026-02-06 22:04:31,2026-02-06 19:59:59,2026-02-06 23:59:59,1,-83.99999999999892,83.72272686209325,1.11630302482791,0.75,66.25,67.76,151.0000000000005,2.65,148.3500000000005,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-02-09 18:44:00,2026-02-09 22:44:00,2026-02-09 18:46:00,2026-02-09 22:46:00,2026-02-09 19:59:59,2026-02-09 23:59:59,-1,84.00000000000034,83.60060265647799,1.1146747020863732,0.75,68.04,68.1,-5.999999999998806,2.7216000000000005,-8.721599999998807,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-02-17 17:50:59,2026-02-17 21:50:59,2026-02-17 17:52:59,2026-02-17 21:52:59,2026-02-17 19:59:59,2026-02-17 23:59:59,1,-85.99999999999994,84.68106765643786,1.1290809020858381,0.75,67.0,66.37,-62.999999999999545,2.68,-65.67999999999955,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-02-24 19:33:03,2026-02-24 23:33:03,2026-02-24 19:35:03,2026-02-24 23:35:03,2026-02-24 19:59:59,2026-02-24 23:59:59,1,-96.0000000000008,93.60047011902384,1.2480062682536512,0.75,70.66,70.78,12.000000000000455,2.8264,9.173600000000455,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-02-26 19:10:56,2026-02-26 23:10:56,2026-02-26 19:12:56,2026-02-26 23:12:56,2026-02-26 19:59:59,2026-02-26 23:59:59,-1,94.99999999999886,92.83282013593436,1.2377709351457915,0.75,70.74,72.13,-139.00000000000006,2.8295999999999997,-141.82960000000006,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-02 11:09:35,2026-03-02 15:09:35,2026-03-02 11:11:35,2026-03-02 15:11:35,2026-03-02 19:59:59,2026-03-02 23:59:59,-1,96.99999999999989,96.76033452018231,1.290137793602431,0.75,79.73,78.25,148.0000000000004,3.1892,144.8108000000004,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-03 13:22:35,2026-03-03 17:22:35,2026-03-03 13:24:35,2026-03-03 17:24:35,2026-03-03 19:59:59,2026-03-03 23:59:59,-1,112.00000000000045,111.06421125433295,1.4808561500577726,0.75,81.89,83.7,-181.00000000000023,3.2756000000000003,-184.27560000000022,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
